Date,iata,snow_precip_cm
2015-01-01,ABE,3.2
2015-01-01,ABI,0
2015-01-01,ABQ,6.1
2015-01-01,ABR,0
2015-01-01,ABY,0
2015-01-01,ACK,0
2015-01-01,ACT,0
2015-01-01,ACV,0
2015-01-01,ACY,0
2015-01-01,ADK,4
2015-01-01,ADQ,3.6
2015-01-01,AEX,7.2
2015-01-01,AGS,0
2015-01-01,AKN,9.4
2015-01-01,ALB,4.1
2015-01-01,ALO,0
2015-01-01,AMA,0
2015-01-01,ANC,0
2015-01-01,APN,3.5
2015-01-01,ASE,0
2015-01-01,ATL,0
2015-01-01,ATW,3.3
2015-01-01,AUS,9.4
2015-01-01,AVL,0
2015-01-01,AVP,0.9
2015-01-01,AZO,0
2015-01-01,BDL,0
2015-01-01,BET,0
2015-01-01,BFL,0
2015-01-01,BGM,0
2015-01-01,BGR,0
2015-01-01,BHM,5.1
2015-01-01,BIL,4.8
2015-01-01,BIS,3.7
2015-01-01,BJI,0
2015-01-01,BLI,-0
2015-01-01,BMI,3.2
2015-01-01,BNA,3
2015-01-01,BOI,0
2015-01-01,BOS,0
2015-01-01,BPT,13.4
2015-01-01,BQK,5.6
2015-01-01,BQN,0
2015-01-01,BRD,0
2015-01-01,BRO,7.2
2015-01-01,BRW,0
2015-01-01,BTM,5.3
2015-01-01,BTR,0
2015-01-01,BTV,9
2015-01-01,BUF,0
2015-01-01,BUR,0
2015-01-01,BWI,0
2015-01-01,BZN,0.5
2015-01-01,CAE,0
2015-01-01,CAK,0
2015-01-01,CDC,0.3
2015-01-01,CDV,0
2015-01-01,CEC,0
2015-01-01,CHA,0
2015-01-01,CHO,6.4
2015-01-01,CHS,1.4
2015-01-01,CID,2
2015-01-01,CIU,0
2015-01-01,CLD,0.4
2015-01-01,CLE,3.8
2015-01-01,CLL,4.7
2015-01-01,CLT,0
2015-01-01,CMH,0
2015-01-01,CMI,0
2015-01-01,CMX,7.8
2015-01-01,CNY,0
2015-01-01,COD,7.1
2015-01-01,COS,0
2015-01-01,COU,0
2015-01-01,CPR,1.8
2015-01-01,CRP,1.3
2015-01-01,CRW,0
2015-01-01,CSG,0
2015-01-01,CVG,2.3
2015-01-01,CWA,1.8
2015-01-01,DAB,0
2015-01-01,DAL,7.8
2015-01-01,DAY,0.2
2015-01-01,DBQ,0
2015-01-01,DCA,0
2015-01-01,DEN,7.1
2015-01-01,DFW,3.9
2015-01-01,DHN,0
2015-01-01,DIK,1.3
2015-01-01,DLG,0
2015-01-01,DLH,0
2015-01-01,DRO,0
2015-01-01,DSM,0
2015-01-01,DTW,0
2015-01-01,DVL,0
2015-01-01,EAU,3.6
2015-01-01,ECP,0
2015-01-01,EGE,0
2015-01-01,EKO,0
2015-01-01,ELM,0
2015-01-01,ELP,7.7
2015-01-01,ERI,0
2015-01-01,ESC,0
2015-01-01,EUG,0
2015-01-01,EVV,0
2015-01-01,EWN,0
2015-01-01,EWR,0
2015-01-01,EYW,0.6
2015-01-01,FAI,0
2015-01-01,FAR,0
2015-01-01,FAT,1
2015-01-01,FAY,0
2015-01-01,FCA,2.7
2015-01-01,FLG,5.4
2015-01-01,FLL,3
2015-01-01,FNT,2
2015-01-01,FSD,0
2015-01-01,FSM,5.9
2015-01-01,FWA,0
2015-01-01,GCC,0
2015-01-01,GCK,0
2015-01-01,GEG,1.4
2015-01-01,GFK,4.3
2015-01-01,GGG,0.3
2015-01-01,GJT,0
2015-01-01,GNV,6.3
2015-01-01,GPT,0
2015-01-01,GRB,0
2015-01-01,GRI,11.3
2015-01-01,GRK,0
2015-01-01,GRR,0
2015-01-01,GSO,0
2015-01-01,GSP,0
2015-01-01,GST,0.5
2015-01-01,GTF,15.7
2015-01-01,GTR,0
2015-01-01,GUC,0
2015-01-01,GUM,4.3
2015-01-01,HDN,3
2015-01-01,HIB,0
2015-01-01,HLN,5.7
2015-01-01,HNL,0
2015-01-01,HOB,0
2015-01-01,HOU,0
2015-01-01,HPN,0
2015-01-01,HRL,0
2015-01-01,HSV,0
2015-01-01,HYA,0
2015-01-01,HYS,0.5
2015-01-01,IAD,0
2015-01-01,IAG,0
2015-01-01,IAH,0
2015-01-01,ICT,0
2015-01-01,IDA,0
2015-01-01,ILG,0
2015-01-01,ILM,3.5
2015-01-01,IMT,0
2015-01-01,IND,0
2015-01-01,INL,1.8
2015-01-01,ISN,0
2015-01-01,ISP,10.3
2015-01-01,ITH,8
2015-01-01,ITO,0
2015-01-01,JAC,2.2
2015-01-01,JAN,0
2015-01-01,JAX,0
2015-01-01,JFK,3.1
2015-01-01,JLN,3.5
2015-01-01,JMS,0
2015-01-01,JNU,3.1
2015-01-01,KOA,1
2015-01-01,KTN,5.1
2015-01-01,LAN,1.4
2015-01-01,LAR,6.7
2015-01-01,LAS,0.3
2015-01-01,LAW,4.4
2015-01-01,LAX,0
2015-01-01,LBB,1.2
2015-01-01,LBE,2.3
2015-01-01,LCH,4.9
2015-01-01,LEX,0
2015-01-01,LFT,3.3
2015-01-01,LGA,0
2015-01-01,LGB,0
2015-01-01,LIH,4.8
2015-01-01,LIT,0
2015-01-01,LNK,3.4
2015-01-01,LRD,2
2015-01-01,LSE,0
2015-01-01,LWS,1
2015-01-01,MAF,7.6
2015-01-01,MBS,2.7
2015-01-01,MCI,2.6
2015-01-01,MCO,0
2015-01-01,MDT,0
2015-01-01,MDW,0
2015-01-01,MEI,0
2015-01-01,MEM,0
2015-01-01,MFE,0
2015-01-01,MFR,9.9
2015-01-01,MGM,0
2015-01-01,MHK,0
2015-01-01,MHT,0
2015-01-01,MIA,1.8
