County,Pop_2010,Religious,Non-Religious,Assemblies of God,Episcopal Church,Pentecostal Church of God,Greek Orthodox,LDS,Southern Baptist Convention,United Methodist Church,Buddhism-Mahayana,Catholic,Evangelical,Muslim,Non Denominational,Orthodox
Beaver County,6629,0.7762888888889,0.223713984009655,0,0,0,0,0.74898,0.00241,0,0,0.0229288888889,0.0042188888889,0,0,0
Box Elder County,49975,0.90295,0.0970485242621311,0.0023988888889,0.0017,0.0027588888889,0,0.8137688888889,0.00394,0.0033188888889,0.0250125062531,0.0401788888889,0.0161488888889,0,0.0054,0
Cache County,112656,0.87746,0.122541187331345,0.00262,0.00283,0.0031288888889,0,0.8225488888889,0.00383,0,0,0.0293588888889,0.0141688888889,0.00273,0.00372,0
Carbon County,21403,0.7994188888889,0.20057935803392,0.0011688888889,0.00598,0,0.01308,0.53109,0.00841,0.00519,0,0.1911388888889,0.04682,0,0.00832,0.01308
Daggett County,1059,0.6562788888889,0.343720491029273,0,0,0,0,0.6562788888889,0,0,0,0,0,0,0,0
Davis County,306479,0.82371,0.176289403189126,0.01082,0.00093,0.00066,0,0.74659,0.00724,0,0.0003328123623,0.04171,0.02587,0.00016,0.00302,0
Duchesne County,18607,0.7807788888889,0.219218573655076,0.0067188888889,0,0.00097,0,0.73499,0.0175188888889,0,0,0.0144,0.0303588888889,0,0.00532,0
Emery County,10976,0.8191488888889,0.180849125364432,0,0,0,0,0.77287,0.00938,0,0,0.00957,0.0367188888889,0,0.01367,0
Garfield County,5172,0.7455488888889,0.254447022428461,0,0,0,0,0.7310488888889,0.00483,0,0,0.00967,0.00483,0,0,0
Grand County,9225,0.5377788888889,0.462222222222222,0.00921,0.0280788888889,0,0,0.311,0.05485,0,0,0.0688288888889,0.0892088888889,0,0.0095388888889,0
Iron County,46163,0.77486,0.225137014492126,0.00214,0.001,0.00446,0,0.6906588888889,0.0118488888889,0,0,0.0487,0.02998,0,0.0081188888889,0
Juab County,10246,0.83457,0.165430411868046,0,0,0,0,0.8172,0,0.00312,0,0.01415,0,0,0,0
Kane County,7125,0.6666688888889,0.333333333333333,0,0,0.0013988888889,0,0.57782,0,0.00688,0,0.03396,0.02989,0,0.0245588888889,0
Millard County,12503,0.83012,0.169879228985044,0,0,0.00224,0,0.7925288888889,0.0016,0,0,0.00608,0.0291088888889,0,0.02103,0
Morgan County,9469,0.8962888888889,0.103706832822896,0,0,0,0,0.8890088888889,0,0,0,0,0,0,0,0
Piute County,1556,0.6658088888889,0.334190231362468,0,0,0,0,0.6658088888889,0,0,0,0,0,0,0,0
Rich County,2264,0.87986,0.120141342756184,0,0,0,0,0.87986,0,0,0,0,0,0,0,0
Salt Lake County,1029655,0.73237,0.267629448698836,0.0056388888889,0.0026,0.00243,0.00437,0.59325,0.0048888888889,0.00347,0.0036818157538,0.0819088888889,0.02671,0.00441,0.0054688888889,0.0052
San Juan County,14746,0.5033188888889,0.496677064966771,0.00285,0.012,0,0,0.44012,0.0085388888889,0,0,0.012,0.03628,0,0,0
Sanpete County,27822,0.8005188888889,0.199482423981022,0,0,9e-04,0,0.7892,0.00173,0,0,0.00273,0.00766,0,0.0059288888889,0
Sevier County,20802,0.87732,0.12268051148928,0.00774,0,0.00212,0,0.83607,0.0045188888889,0,0,0.0131188888889,0.02591,0,0.0115388888889,0
Summit County,36324,0.57557,0.424430128840436,0,0.0072088888889,0,0,0.34974,8e-04,0.02128,0,0.14533,0.0206788888889,0,0.00206,0
Tooele County,58218,0.87849,0.121508811707719,0.00297,0.00158,0,0,0.66797,0.0053788888889,0.00345,0,0.1839,0.0214688888889,0,0.00708,0
Uintah County,32588,0.71585,0.284153676199828,0.01108,0.0123388888889,0,0,0.6244288888889,0.01016,0,0,0.0371,0.0402288888889,0,0.0019,0
Utah County,516564,0.9095,0.0905037904306146,0.00071,8.88888889e-05,0.00029,0,0.8866288888889,6e-04,0.00016,0.0001993944603,0.01315,0.00492,0,0.00096,0
Wasatch County,23530,0.6668888888889,0.333106672333192,0,0,0,0,0.6447888888889,0.00374,0,0,0.01564,0.00637,0,0.00263,0
Washington County,138115,0.7566488888889,0.243347934692104,0.00091,0.0020488888889,0.00243,0,0.68198,0.0033188888889,0.00206,0,0.04232,0.01698,0,0.00883,0
Wayne County,2778,0.7861788888889,0.213822894168467,0,0,0,0,0.77682,0.0036,0,0,0.0054,0.0036,0,0,0
Weber County,231236,0.75299,0.247007386393122,0.00366,0.00147,0.00264,0.00151,0.5996,0.00511,0.00384,0.0054057326714,0.0818788888889,0.0465388888889,0.00043,0.0184688888889,0.00151
