Sample.ID,Rep,Well,Dilution,Substrate,Hour,Absorbance,SampleType
Clear_Creek,1,A1,0.001,Water,24,0,Water
Clear_Creek,1,A2,0.001,β-Methyl-D- Glucoside,24,0.004,Water
Clear_Creek,1,A3,0.001,D-Galactonic Acid γ-Lactone,24,0.008,Water
Clear_Creek,1,A4,0.001,L-Arginine,24,0.003,Water
Clear_Creek,1,B1,0.001,Pyruvic Acid Methyl Ester,24,0.002,Water
Clear_Creek,1,B2,0.001,D-Xylose,24,0.011,Water
Clear_Creek,1,B3,0.001,D-Galacturonic Acid,24,0.047,Water
Clear_Creek,1,B4,0.001,L-Asparganine,24,0.001,Water
Clear_Creek,1,C1,0.001,Tween 40,24,0.123,Water
Clear_Creek,1,C2,0.001,i-Erythitol,24,0.007,Water
Clear_Creek,1,C3,0.001,2-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,1,C4,0.001,L-Phenylalanine,24,0,Water
Clear_Creek,1,D1,0.001,Tween 80 ,24,0.476,Water
Clear_Creek,1,D2,0.001,D-Mannitol,24,0.023,Water
Clear_Creek,1,D3,0.001,4-Hydroxy Benzoic Acid,24,0.018,Water
Clear_Creek,1,D4,0.001,L-Serine,24,0.003,Water
Clear_Creek,1,E1,0.001,α-Cyclodextrin,24,0.138,Water
Clear_Creek,1,E2,0.001,N-Acetyl-D-Glucosamine,24,0.094,Water
Clear_Creek,1,E3,0.001,γ-Hydroxybutyric Acid,24,0.035,Water
Clear_Creek,1,E4,0.001,L-Threonine,24,0.001,Water
Clear_Creek,1,F1,0.001,Glycogen,24,0.184,Water
Clear_Creek,1,F2,0.001,D-Glucosaminic Acid,24,0.076,Water
Clear_Creek,1,F3,0.001,Itaconic Acid,24,0.029,Water
Clear_Creek,1,F4,0.001,Glycyl-L-Glutamic Acid,24,0.001,Water
Clear_Creek,1,G1,0.001,D-Cellobiose,24,0.109,Water
Clear_Creek,1,G2,0.001,Glucose-1-Phosphate,24,0.052,Water
Clear_Creek,1,G3,0.001,α-Ketobutyric Acid,24,0.038,Water
Clear_Creek,1,G4,0.001,Phenylethylamine,24,0.003,Water
