Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ref_biomaterial,rel_to_oxygen,ReleaseDate,samp_collect_device,samp_mat_process,samp_size,sample_acc,Sample Name,source_material_ID,SRA Study
SRR10414952,RNA-Seq,500,PRJNA587578,SAMN13198132,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113187,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,OxBio-3_GACTTT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,6,3,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,184 ml,SRS5624081,OxBio-3_GACTTT_L001_R1.fastq,Thiopaq bioreactor,SRP229007
SRR10414953,RNA-Seq,500,PRJNA587578,SAMN13198130,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113186,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,OxBio-2_AGAATC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,7,3,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,182 ml,SRS5624080,OxBio-2_AGAATC_L001_R1.fastq,Thiopaq bioreactor,SRP229007
SRR10414954,RNA-Seq,500,PRJNA587578,SAMN13198074,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113184,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BP-1_CAGGAC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,28,15,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,126 ml,SRS5624078,BP-1_CAGGAC_L001_R1.fastq,Primary Sludge,SRP229007
SRR10414955,RNA-Seq,500,PRJNA587578,SAMN13198126,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113183,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPS-3_GCATGG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,15,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,178 ml,SRS5624077,DBPS-3_GCATGG_L001_R1.fastq,Digester B surface,SRP229007
SRR10414956,RNA-Seq,500,PRJNA587578,SAMN13198106,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113182,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPF-2_TTCAAC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,22,12,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,158 ml,SRS5624076,DAPF-2_TTCAAC_L001_R1.fastq,Digester A bottom,SRP229007
SRR10414957,RNA-Seq,500,PRJNA587578,SAMN13198104,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113181,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPF-1_AAGGTG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,33,18,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,156 ml,SRS5624075,DAPF-1_AAGGTG_L001_R1.fastq,Digester A bottom,SRP229007
SRR10414958,RNA-Seq,500,PRJNA587578,SAMN13198102,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113180,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PS-3_AGCCCT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,14,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,154 ml,SRS5624074,D2PS-3_AGCCCT_L001_R1.fastq,Digester 2 surface,SRP229007
SRR10414959,RNA-Seq,500,PRJNA587578,SAMN13198100,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113179,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PS-2_AGTATT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,38,21,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,152 ml,SRS5624073,D2PS-2_AGTATT_L001_R1.fastq,Digester 2 surface,SRP229007
SRR10414960,RNA-Seq,500,PRJNA587578,SAMN13198098,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113178,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PS-1_ACACCG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,37,21,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,150 ml,SRS5624072,D2PS-1_ACACCG_L001_R1.fastq,Digester 2 surface,SRP229007
SRR10414961,RNA-Seq,500,PRJNA587578,SAMN13198094,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113177,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PF-2_CCGGGT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,27,15,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,146 ml,SRS5624071,D2PF-2_CCGGGT_L001_R1.fastq,Digester 2 bottom,SRP229007
SRR10414962,RNA-Seq,500,PRJNA587578,SAMN13198096,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113176,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PF-3_GTCATT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,37,20,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,148 ml,SRS5624070,D2PF-3_GTCATT_L001_R1.fastq,Digester 2 bottom,SRP229007
SRR10414963,RNA-Seq,500,PRJNA587578,SAMN13198092,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113175,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D2PF-1_CGAGAA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,39,22,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,144 ml,SRS5624069,D2PF-1_CGAGAA_L001_R1.fastq,Digester 2 bottom,SRP229007
SRR10414964,RNA-Seq,500,PRJNA587578,SAMN13198124,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113174,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPS-2_GGAGGT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,14,7,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,176 ml,SRS5624068,DBPS-2_GGAGGT_L001_R1.fastq,Digester B surface,SRP229007
SRR10414965,RNA-Seq,500,PRJNA587578,SAMN13198122,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113173,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPS-1_GGATTC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,14,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,174 ml,SRS5624067,DBPS-1_GGATTC_L001_R1.fastq,Digester B surface,SRP229007
SRR10414966,RNA-Seq,500,PRJNA587578,SAMN13198120,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113172,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPF-3_GACTCG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,32,18,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,172 ml,SRS5624066,DBPF-3_GACTCG_L001_R1.fastq,Digester B bottom,SRP229007
SRR10414967,RNA-Seq,500,PRJNA587578,SAMN13198118,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113171,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPF-2_TTTCCG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,42,23,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,170 ml,SRS5624065,DBPF-2_TTTCCG_L001_R1.fastq,Digester B bottom,SRP229007
SRR10414968,RNA-Seq,500,PRJNA587578,SAMN13198128,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113185,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,OxBio-1_GCTTCG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,6,3,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,180 ml,SRS5624079,OxBio-1_GCTTCG_L001_R1.fastq,Thiopaq bioreactor,SRP229007
