	B12	B13	B15	B16	B17	B2	B22	B3	B6	CV13	CV14	CV15	CV5	CV6	CV7	CV8	EKH14	EKH16	EKH2	EKH20	EKH21	EKH22	EKH29	EKH5	EKH7	H1	H14	H17	H4	H5	H9	KB1	KB10	KB11	KB12	KB13	KB14	KB9	Mi1	Mi10	Mi11	Mi3	Mi4	Mi9	R1	R2	TP1	TP3	TP4	TP5	TP6	TP7	Tax_Name
New.ReferenceOTU1138	0	0	0	0	0	0	0	0	0	60	20	60	0	30	0	0	444	20	176	0	11	392	192	28	162	0	0	0	0	0	0	168	0	0	646	0	37	736	0	0	0	0	0	0	0	0	42	0	39	80	324	84	Uncultured fungus clone MOTU_2865_GOKCVWY06GUXB7 1
New.ReferenceOTU1018	0	10	0	0	0	0	0	0	0	30	0	16	360	0	224	126	0	0	0	21	22	0	0	0	0	0	0	0	0	0	0	72	0	94	0	108	0	64	0	0	0	0	0	0	0	0	24	0	13	32	0	42	Uncultured fungus clone CMH160 18S ribosomal RNA g
New.ReferenceOTU30	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	123	0	0	12	320	0	0	0	0	32	0	104	48	21	0	0	0	0	18	0	0	0	0	0	Uncultured fungus clone 036A26588 18S ribosomal RN
New.ReferenceOTU17	2340	2825	3294	5274	1232	1713	2296	3801	7080	160	208	140	240	30	868	294	0	25	0	84	198	196	24	40	216	20493	15336	12340	24969	18528	8216	108	384	1316	187	0	333	192	29148	16562	15720	12369	23397	7452	25155	37570	36	260	65	0	378	42	Uncultured fungus clone ZMTWL201307-135 small subu
New.ReferenceOTU14	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	148	30	0	0	0	196	0	20	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	Uncultured fungus clone OilMgv1-5 18S ribosomal RN
New.ReferenceOTU768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	Uncultured fungus clone L042880-122-060-F01 intern
New.ReferenceOTU1035	0	0	0	0	0	0	0	0	0	10	0	8	0	0	0	0	7844	40	528	0	561	49	576	72	7110	0	27	0	0	0	0	60	0	799	0	0	185	0	0	0	0	0	0	0	0	0	0	0	117	48	162	84	Uncultured fungus clone MOTU_4199_GYUGVSB04ITK80 1
New.ReferenceOTU1078	0	0	0	0	0	0	0	0	0	120	0	148	0	0	0	294	0	95	1584	42	1881	2303	432	0	0	0	189	0	0	0	0	0	0	611	2584	0	555	1632	0	26	0	0	99	0	0	0	0	0	13	0	378	0	Uncultured fungus clone 109A78793 18S ribosomal RN
New.ReferenceOTU857	0	0	0	0	0	0	0	0	0	20	0	24	0	0	112	42	0	0	0	0	0	0	0	0	0	0	0	0	164	64	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trichoderma sp. GW_OTU62 18S ribosomal RNA gene, p
New.ReferenceOTU184	0	0	0	0	0	0	0	0	0	0	0	4	200	30	84	0	629	15	176	105	198	98	120	0	144	0	0	0	0	0	0	12	0	188	0	0	37	0	0	0	0	0	0	0	0	0	42	60	65	64	0	210	Pseudocercospora pteridophytophila voucher TNM 360
New.ReferenceOTU189	0	0	0	0	0	0	0	0	0	1300	716	1360	1880	630	7672	5964	10693	225	4312	7938	1936	9800	3240	412	684	0	0	0	0	32	0	564	1088	376	3383	4104	7770	3392	0	0	0	0	0	0	0	0	726	2980	1963	3216	10908	12012	Eurotium sp. A212 18S ribosomal RNA gene, partial 
New.ReferenceOTU1039	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	74	5	176	0	99	147	312	84	18	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	16	0	0	Phlebia sp. 7-SU-3-D-29(M)-B 18S ribosomal RNA gen
