Section,Exam.1..4245260.,Exam.2..4245261.,YOUR.CHOICE....Citation.Manager..4122456.,YOUR.CHOICE....Critical.Book.Report.s...4122457.,YOUR.CHOICE....Zoo.Aquarium.Visit..4122466.,YOUR.CHOICE....Mauna.Loa.Observatory..4122463.,YOUR.CHOICE....Interviews..4122461.,YOUR.CHOICE....Greenhouse.or.Herbarium.visit..4122460.,YOUR.CHOICE....Introduction.to.R..4122462.,YOUR.CHOICE....Final..4122459.,YOUR.CHOICE....Midterm..4122464.,YOUR.CHOICE....Seminar.Write.up.2..4244270.,YOUR.CHOICE....Seminar.Write.up.3..4249990.,YOUR.CHOICE....Seminar.Write.up.4..4256489.,YOUR.CHOICE....Antarctica..4237627.,X1..Quiz.1..4122444.,X2..Quiz.2..4122445.,X3..Quiz.3..4122443.,X4..Quiz.4..4122448.,X5..Quiz.5..4122449.,X6..Quiz.6..4122450.,X7..Quiz.7..4122447.,X8..Quiz.8..4122446.,Actual.PreTest.Score...not.what.your.grade.is...4122452.
BIOL-1620-002,78,57,0,0,0,0,0,0,30,0,55,5,5,5,10,4,0,4,6,4,2,8,0,28
BIOL-1620-002,63,87,0,0,10,0,0,0,30,0,50,0,0,0,10,8,6,10,6,10,6,8,0,22
BIOL-1620-002,78,66,10,0,0,0,0,10,30,0,50,0,0,0,0,8,10,10,10,8,6,10,0,34
BIOL-1620-002,81,81,0,0,10,0,0,10,30,0,50,0,0,0,0,10,8,10,4,6,6,10,0,26
BIOL-1620-002,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,30
BIOL-1620-002,99,78,0,70,0,0,0,0,0,0,70,0,0,0,0,10,10,8,10,8,6,10,0,28
BIOL-1620-002,66,51,0,0,10,0,0,10,30,0,50,0,0,0,0,8,6,10,6,2,4,6,0,24
BIOL-1620-002,63,66,8,30,10,0,0,0,0,0,58,0,0,0,10,8,8,10,6,4,0,0,0,24
BIOL-1620-002,69,87,0,80,0,0,0,0,0,0,80,0,0,0,0,4,8,8,6,6,6,4,0,24
BIOL-1620-002,72,57,0,0,10,0,0,10,30,0,50,0,0,0,0,8,8,0,10,6,4,4,0,22
BIOL-1620-002,66,90,10,80,10,10,0,0,30,0,140,0,0,0,0,6,6,10,6,8,8,8,0,26
