Family,Species_number,Species_name,English_name,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System
1,1,Struthio camelus,Ostrich,115000,NA,100000,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,1500,4
3,7,Dromaius novaehollandiae,Emu,32700,NA,38300,NA,NA,NA,200,10,203,10,NA,NA,426,11,441,11,NA,NA,59.1,11,61.9,11,NA,NA,NA,NA,NA,NA,NA,NA,8.98,581.2,1
4,8,Apteryx australis,Brown Kiwi,2208,11,2535,26,NA,NA,NA,NA,NA,NA,NA,NA,69.9,11,73.3,15,NA,NA,98.2,11,129.9,15,NA,NA,NA,NA,NA,NA,NA,NA,2,443,2
4,9,Apteryx owenii,Little Spotted Kiwi,1135,51,1351,41,NA,NA,NA,NA,NA,NA,NA,NA,74.1,56,79.7,46,NA,NA,72,27,87.1,17,NA,NA,NA,NA,NA,NA,NA,NA,1,285,2
4,10,Apteryx haastii,Great Spotted Kiwi,2610,12,3270,7,NA,NA,NA,NA,NA,NA,NA,NA,84.9,7,88.4,13,NA,NA,96,7,125.8,13,NA,NA,NA,NA,NA,NA,NA,NA,1,425,2
5,14,Tinamus major,Great Tinamou,1059,NA,991,NA,1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1
5,21,Crypturellus soui,Little Tinamou,198,6,235,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
5,28,Crypturellus boucardi,Slaty-breasted Tinamou,418,22,468,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,45,Nothoprocta cinerascens,Brushland Tinamou,475,NA,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1
6,58,Ortalis vetula,Plain Chachalaca,584,106,542,102,521.5,NA,210,106,200,102,NA,NA,59.3,106,56.6,102,NA,NA,23.3,106,21.7,102,NA,NA,233.8,15,223.1,13,NA,NA,2.88,55,2
