SampleID	BarcodeSequence	LinkerPrimerSequence	Run	Ecosystem	Island	Lat	Lon	Collection_Date	F_Primer	R_Primer	Ecosys_Type	Host_Type	Host	InputFileName	Description
SP.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.1.fasta	Snails_Lau_AJJ_SP.1
SP.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.2.fasta	Snails_Lau_AJJ_SP.2
SP.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.3.fasta	Snails_Lau_AJJ_SP.3
SP.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.4.fasta	Snails_Lau_AJJ_SP.4
SP.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.5.fasta	Snails_Lau_AJJ_SP.5
SP.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.6.fasta	Snails_Lau_AJJ_SP.6
SP.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.7.fasta	Snails_Lau_AJJ_SP.7
SP.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.8.fasta	Snails_Lau_AJJ_SP.8
SP.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.9.fasta	Snails_Lau_AJJ_SP.9
SP.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.10.fasta	Snails_Lau_AJJ_SP.10
SP.11			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.11.fasta	Snails_Lau_AJJ_SP.11
SP.12			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.12.fasta	Snails_Lau_AJJ_SP.12
SP.13			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.13.fasta	Snails_Lau_AJJ_SP.13
SP.14			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.14.fasta	Snails_Lau_AJJ_SP.14
SP.15			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.15.fasta	Snails_Lau_AJJ_SP.15
SP.16			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.16.fasta	Snails_Lau_AJJ_SP.16
GZ.PosCtrl			Snails_Lau_AJJ	Controls	Oahu	NA	NA	NA	ITS1F	ITS2	Terrestrial		NA	GZ.PosCtrl.fasta	Snails_Lau_AJJ_GZ.PosCtrl
GZ.NegCtrl			Snails_Lau_AJJ	Controls	Oahu	NA	NA	NA	ITS1F	ITS2	Terrestrial		NA	GZ.NegCtrl.fasta	Snails_Lau_AJJ_GZ.NegCtrl
SP.19			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.19.fasta	Snails_Lau_AJJ_SP.19
SP.20			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.20.fasta	Snails_Lau_AJJ_SP.20
SP.21			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.51189297	-158.136407	42244	ITS1F	ITS2	Terrestrial			SP.21.fasta	Snails_Lau_AJJ_SP.21
KB.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Ohia	KB.1.fasta	Snails_Lau_AJJ_KB.1
KB.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Vaccinium	KB.2.fasta	Snails_Lau_AJJ_KB.2
KB.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Ilex	KB.3.fasta	Snails_Lau_AJJ_KB.3
KB.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Mellicope	KB.4.fasta	Snails_Lau_AJJ_KB.4
KB.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Hapuu	KB.5.fasta	Snails_Lau_AJJ_KB.5
KB.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Pukiawe	KB.6.fasta	Snails_Lau_AJJ_KB.6
KB.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Brusasia	KB.7.fasta	Snails_Lau_AJJ_KB.7
KB.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Coprasma	KB.8.fasta	Snails_Lau_AJJ_KB.8
