"SampleID","Project","Amplicon","Tree_Species","BurnYear","Latitude","Longitude","Field_Office","BLM_Fire_Name","Tracking_Number","alpha-pinene","para-cymene","alpha-terpineol","cedr-9-ene","alpha-cedrene","beta-cedrene","cis-thujopsene","alpha-himachalene","beta-chamigrene","cuparene","compound 1","alpha-chamigrene","widdrol","cedrol","beta-acorenol","alpha-acorenol","gamma-eudesmol","beta-eudesmol","alpha-eudesmol","cedr-8-en-13-ol","cedr-8-en-15-ol","compound 2","thujopsenal","Yield_percent","Bolt_Surface_Area_cm2","Raw_Exit_Holes_per_cm2","Raw_Exit_Holes","Living_Larvae","ChemTotal","ChemMean","YearsSinceBurn"
"LOG-16S-SL12","JuniperLogs","16S","Juniperus osteosperma",2018,41.5719,-113.7488,"Salt_Lake_3","Ridge","#5276 (2018)",0.6,0.4,2.3,0.2,1.9,1.2,25.9,0.2,0.4,1.8,0.7,0,1,37.5,3.3,1.1,0,2,0.6,1.6,2.4,0,2.6,0.18,1687,0,0,0,87.7,3.8130434783,2
"LOG-16S-SL11","JuniperLogs","16S","Juniperus osteosperma",2017,40.9202,-113.0017,"Salt_Lake_2","Knob","#5275 (2017)",1.4,0.3,0.5,1,9.5,3.3,22.8,0.4,1.1,1.8,2.4,0.6,5.2,14.2,0,0,3.5,3.5,1.8,10.5,2.4,0.5,2.8,0.29,1236,0.0081,10,0,89.5,3.8913043478,3
"LOG-16S-CC5","JuniperLogs","16S","Juniperus osteosperma",2016,37.5799,-113.0851,"Cedar_City","Hicks Creek","#5274 (2016)",0.2,1.1,0.8,1.1,13.2,3.2,12.5,0.4,1.8,2.4,4.8,1.3,11.3,7.5,0,0,2.8,2,1.3,9.3,1.7,1.4,1.8,0.34,1866,0,0,0,81.9,3.5608695652,4
"LOG-16S-SL9","JuniperLogs","16S","Juniperus osteosperma",2014,39.9422,-112.7181,"Salt_Lake_4","Lion Peak","#5273 (2014)",0.3,0.1,0.7,0.7,6.7,2.3,19.98,0.3,0.8,1.7,2.4,0,7.2,21.2,1,1,0,0.7,0.3,8.2,2.8,0.7,1.8,0.41,2794,0.0054,15,4,80.88,3.5165217391,6
"LOG-16S-SL8","JuniperLogs","16S","Juniperus osteosperma",2013,41.5335,-113.7096,"Salt_Lake_3","Playground","#5272 (2013)",0.1,0.1,0.2,1,8.1,2.9,14,0.4,0.9,1.3,2.4,0.7,13.4,17.9,1.3,0,3,3.3,1.4,3.5,1.4,1.6,2,0.07,1726,0.0046,8,1,80.9,3.5173913043,7
"LOG-16S-SL7","JuniperLogs","16S","Juniperus osteosperma",2012,40.8316,-112.4833,"Salt_Lake_2","Shanty Canyon","#5271 (2012)",0,0.1,0.1,0.3,9.4,1.8,9.3,0.2,1,2.1,1.9,0.8,9.6,14.6,0,0,1.4,1.1,0.6,17.2,3.4,2.3,2.4,0.54,1313,0.0008,1,0,79.6,3.4608695652,8
"LOG-16S-SL6","JuniperLogs","16S","Juniperus osteosperma",2011,39.9785,-113.1177,"Salt_Lake_4","Nowhere","#5270 (2011)",0.1,0.5,2.8,0.4,8.7,2.8,28.9,0.3,0.5,1.5,1,0.3,1.5,39.9,1.5,0.7,0,1.2,0.3,0.3,0.8,0.4,1.5,0.95,1580,0,0,0,95.9,4.1695652174,9
"LOG-16S-SL4","JuniperLogs","16S","Juniperus osteosperma",2009,39.9885,-113.1322,"Salt_Lake_4","Engleman","#5269 (2009)",0.2,0.6,1.1,0.5,8.6,2.9,14.4,0.3,0.5,1.7,0.8,0.3,2.9,37.3,0,0,3.2,4.8,1.6,6.4,1.6,0.9,1.8,0.43,1295,0.0054,7,0,92.4,4.0173913043,11
"LOG-16S-SL3","JuniperLogs","16S","Juniperus osteosperma",2008,41.5442,-113.6921,"Salt_Lake_3","Devil","#5268 (2008)",0.1,0.2,0.1,0.9,35.5,7.6,15.9,0.4,1.4,1.9,2.7,1,4.3,16.4,0,0,0.6,0,0,2.3,0.8,0.6,0.7,0.77,2206,0.0005,1,0,93.4,4.0608695652,12
"LOG-16S-SL2","JuniperLogs","16S","Juniperus osteosperma",2007,40.952,-112.8348,"Salt_Lake_2","Monarch","#5267 (2007)",0.1,0.3,0.3,0.8,7.6,2.7,28.7,0.4,0.9,2.1,1.7,0.5,5.6,19,1.7,1.1,0,1.1,0.5,10,2.3,1,3.1,0.47,1716,0.0058,10,0,91.5,3.9782608696,13
