DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-03-12 14:26:40,10800.1064814815,74,Yes,1990-02-06 02:40:00,10834.5972222222,92,Yes
1990-01-11 04:26:40,10860.5231481481,79,Yes,1990-04-22 09:13:20,10759.3657407407,125,Yes
1990-05-25 17:13:20,10726.0324074074,81,No,1990-01-14 04:40:00,10857.5138888889,66,No
1990-04-13 08:33:20,10768.3935185185,82,No,1990-01-19 01:20:00,10852.6527777778,109,No
1990-03-04 00:53:20,10808.6712962963,143,Yes,1990-02-22 18:40:00,10817.9305555556,89,Yes
1990-01-12 13:46:40,10859.1342592593,103,Yes,1990-01-15 02:53:20,10856.587962963,65,Yes
1990-05-14 20:06:40,10736.912037037,90,No,1990-05-28 23:00:00,10722.7916666667,87,No
1990-05-23 20:46:40,10727.8842592593,92,No,1990-05-09 01:13:20,10742.6990740741,56,No
1990-05-15 12:46:40,10736.2175925926,95,No,1990-01-21 08:53:20,10850.337962963,117,No
1990-06-18 19:00:00,10701.9583333333,115,No,1990-02-27 15:20:00,10813.0694444444,143,No
1990-02-04 22:53:20,10835.7546296296,123,No,1990-03-01 17:20:00,10810.9861111111,115,No
1990-05-21 18:46:40,10729.9675925926,91,Yes,1990-05-09 01:13:20,10742.6990740741,86,Yes
1990-05-25 11:40:00,10726.2638888889,75,Yes,1990-06-06 12:33:20,10714.2268518519,69,Yes
1990-02-07 00:53:20,10833.6712962963,65,Yes,1990-01-10 17:20:00,10860.9861111111,111,Yes
1990-03-16 18:26:40,10795.9398148148,34,Yes,1990-01-19 12:26:40,10852.1898148148,97,Yes
1990-01-02 03:46:40,10869.5509259259,153,No,1990-03-28 08:13:20,10784.3657407407,88,No
1990-06-01 10:20:00,10719.3194444444,89,No,1990-04-14 12:20:00,10767.2361111111,34,No
1990-01-23 22:00:00,10847.7916666667,136,No,1990-01-16 06:40:00,10855.4305555556,103,No
1990-02-23 00:13:20,10817.6990740741,116,No,1990-03-14 10:53:20,10798.2546296296,94,No
1990-03-20 16:53:20,10792.0046296296,139,Yes,1990-03-11 16:13:20,10801.0324074074,84,Yes
1990-05-29 21:13:20,10721.8657407407,93,Yes,1990-06-05 19:53:20,10714.9212962963,91,Yes
1990-05-03 00:46:40,10748.7175925926,110,No,1990-05-03 17:26:40,10748.0231481481,68,No
1990-05-12 18:06:40,10738.9953703704,104,Yes,1990-05-12 23:40:00,10738.7638888889,119,Yes
1990-03-07 06:40:00,10805.4305555556,139,No,1990-05-07 21:26:40,10743.8564814815,81,No
1990-02-02 15:20:00,10838.0694444444,91,Yes,1990-06-13 16:46:40,10707.0509259259,74,Yes
1990-02-13 06:53:20,10827.4212962963,112,Yes,1990-01-11 21:06:40,10859.8287037037,78,Yes
1990-02-15 03:20:00,10825.5694444444,115,No,1990-05-09 01:13:20,10742.6990740741,173,No
1990-01-25 18:26:40,10845.9398148148,89,No,1990-03-19 02:00:00,10793.625,73,No
1990-02-23 22:26:40,10816.7731481481,122,Yes,1990-05-03 17:26:40,10748.0231481481,91,Yes
1990-04-23 18:33:20,10757.9768518519,126,No,1990-01-17 21:33:20,10853.8101851852,123,No
1990-01-12 02:40:00,10859.5972222222,132,No,1990-02-28 08:00:00,10812.375,108,No
1990-03-17 22:13:20,10794.7824074074,120,No,1990-04-12 04:46:40,10769.5509259259,78,No
1990-06-14 20:33:20,10705.8935185185,62,Yes,1990-03-27 21:06:40,10784.8287037037,120,Yes
1990-06-08 03:26:40,10712.6064814815,96,No,1990-05-25 17:13:20,10726.0324074074,105,No
1990-06-14 15:00:00,10706.125,89,No,1990-03-10 06:53:20,10802.4212962963,106,No
1990-06-07 05:13:20,10713.5324074074,125,Yes,1990-02-22 13:06:40,10818.162037037,112,Yes
1990-05-20 03:53:20,10731.587962963,123,No,1990-02-05 04:26:40,10835.5231481481,40,No
1990-03-02 10:00:00,10810.2916666667,129,Yes,1990-02-02 09:46:40,10838.3009259259,89,Yes
1990-02-13 23:33:20,10826.7268518519,102,No,1990-01-15 19:33:20,10855.8935185185,52,No
1990-04-30 17:13:20,10751.0324074074,54,No,1990-03-10 12:26:40,10802.1898148148,110,No
1990-03-30 21:20:00,10781.8194444444,99,Yes,1990-04-05 17:13:20,10776.0324074074,102,Yes
1990-01-25 01:46:40,10846.6342592593,124,No,1990-02-22 18:40:00,10817.9305555556,121,No
1990-06-03 17:53:20,10717.0046296296,68,No,1990-01-20 10:40:00,10851.2638888889,78,No
1990-02-01 06:00:00,10839.4583333333,97,No,1990-01-14 04:40:00,10857.5138888889,101,No
1990-01-23 22:00:00,10847.7916666667,139,Yes,1990-03-03 19:20:00,10808.9027777778,128,Yes
1990-05-09 12:20:00,10742.2361111111,92,Yes,1990-02-06 08:13:20,10834.3657407407,109,Yes
1990-03-29 00:53:20,10783.6712962963,135,Yes,1990-04-28 20:46:40,10752.8842592593,103,Yes
1990-04-22 14:46:40,10759.1342592593,106,Yes,1990-04-05 11:40:00,10776.2638888889,64,Yes
1990-05-30 19:26:40,10720.9398148148,148,Yes,1990-04-03 09:40:00,10778.3472222222,130,Yes
1990-01-09 02:26:40,10862.6064814815,111,No,1990-03-19 07:33:20,10793.3935185185,88,No
1990-06-11 03:40:00,10709.5972222222,137,Yes,1990-01-03 02:00:00,10868.625,130,Yes
1990-03-07 23:20:00,10804.7361111111,105,Yes,1990-03-04 12:00:00,10808.2083333333,160,Yes
1990-02-18 09:06:40,10822.3287037037,125,No,1990-05-20 20:33:20,10730.8935185185,101,No
1990-05-20 20:33:20,10730.8935185185,49,Yes,1990-01-27 14:53:20,10844.087962963,144,Yes
1990-04-10 02:46:40,10771.6342592593,96,No,1990-02-24 20:40:00,10815.8472222222,78,No
1990-05-31 01:00:00,10720.7083333333,140,No,1990-03-18 20:26:40,10793.8564814815,104,No
1990-01-16 12:13:20,10855.1990740741,82,Yes,1990-04-27 17:00:00,10754.0416666667,133,Yes
1990-06-15 07:40:00,10705.4305555556,81,No,1990-03-27 15:33:20,10785.0601851852,72,No
1990-05-27 08:06:40,10724.412037037,104,Yes,1990-01-25 01:46:40,10846.6342592593,84,Yes
1990-05-11 03:13:20,10740.6157407407,130,Yes,1990-02-08 21:20:00,10831.8194444444,93,Yes
1990-01-27 14:53:20,10844.087962963,38,No,1990-05-24 02:20:00,10727.6527777778,108,No
1990-01-06 07:46:40,10865.3842592593,127,No,1990-03-18 14:53:20,10794.087962963,117,No
1990-02-13 23:33:20,10826.7268518519,86,No,1990-06-12 13:00:00,10708.2083333333,93,No
