DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-05-19 11:13:20,10732.2824074074,99,Yes,1990-02-19 01:46:40,10821.6342592593,125,Yes
1990-01-23 22:00:00,10847.7916666667,101,Yes,1990-01-12 13:46:40,10859.1342592593,94,Yes
1990-04-28 04:06:40,10753.5787037037,103,Yes,1990-01-19 12:26:40,10852.1898148148,98,Yes
1990-05-13 10:46:40,10738.3009259259,123,No,1990-06-03 17:53:20,10717.0046296296,127,No
1990-02-27 09:46:40,10813.3009259259,84,No,1990-01-17 10:26:40,10854.2731481481,102,No
1990-05-21 13:13:20,10730.1990740741,110,Yes,1990-02-14 10:40:00,10826.2638888889,94,Yes
1990-03-18 03:46:40,10794.5509259259,116,No,1990-05-14 20:06:40,10736.912037037,82,No
1990-06-03 01:13:20,10717.6990740741,110,No,1990-04-12 10:20:00,10769.3194444444,92,No
1990-01-04 00:13:20,10867.6990740741,68,Yes,1990-02-16 18:13:20,10823.9490740741,75,Yes
1990-03-08 10:26:40,10804.2731481481,90,No,1990-06-14 20:33:20,10705.8935185185,88,No
1990-04-28 09:40:00,10753.3472222222,125,Yes,1990-01-23 16:26:40,10848.0231481481,125,Yes
1990-05-05 19:26:40,10745.9398148148,45,Yes,1990-05-28 17:26:40,10723.0231481481,87,Yes
1990-02-10 06:40:00,10830.4305555556,85,No,1990-05-28 00:46:40,10723.7175925926,109,No
1990-03-05 15:46:40,10807.0509259259,88,No,1990-02-23 11:20:00,10817.2361111111,72,No
1990-05-19 00:06:40,10732.7453703704,58,No,1990-01-04 16:53:20,10867.0046296296,81,No
1990-06-04 05:00:00,10716.5416666667,62,No,1990-03-29 17:33:20,10782.9768518519,101,No
1990-02-06 02:40:00,10834.5972222222,119,No,1990-03-16 01:46:40,10796.6342592593,77,No
1990-01-22 23:46:40,10848.7175925926,102,No,1990-06-10 11:00:00,10710.2916666667,120,No
1990-06-02 08:33:20,10718.3935185185,132,Yes,1990-05-24 02:20:00,10727.6527777778,32,Yes
1990-04-17 12:33:20,10764.2268518519,105,Yes,1990-04-23 07:26:40,10758.4398148148,112,Yes
1990-01-15 02:53:20,10856.587962963,96,Yes,1990-02-14 10:40:00,10826.2638888889,153,Yes
1990-05-04 15:40:00,10747.0972222222,73,No,1990-01-07 06:00:00,10864.4583333333,92,No
1990-05-10 05:00:00,10741.5416666667,150,Yes,1990-05-06 17:40:00,10745.0138888889,115,Yes
1990-04-02 00:20:00,10779.7361111111,108,No,1990-05-20 03:53:20,10731.587962963,160,No
1990-06-16 22:33:20,10703.8101851852,110,Yes,1990-06-06 01:26:40,10714.6898148148,151,Yes
1990-03-02 10:00:00,10810.2916666667,115,Yes,1990-03-07 01:06:40,10805.662037037,93,Yes
1990-05-12 01:26:40,10739.6898148148,67,No,1990-03-10 06:53:20,10802.4212962963,125,No
1990-03-27 21:06:40,10784.8287037037,114,No,1990-05-05 19:26:40,10745.9398148148,96,No
1990-05-04 04:33:20,10747.5601851852,125,Yes,1990-04-11 12:06:40,10770.2453703704,82,Yes
1990-02-26 11:33:20,10814.2268518519,95,No,1990-03-16 12:53:20,10796.1712962963,144,No
1990-03-16 07:20:00,10796.4027777778,84,Yes,1990-04-17 07:00:00,10764.4583333333,91,Yes
1990-03-31 19:33:20,10780.8935185185,79,Yes,1990-03-29 17:33:20,10782.9768518519,131,Yes
1990-04-07 13:40:00,10774.1805555556,127,Yes,1990-06-03 06:46:40,10717.4675925926,99,Yes
1990-01-26 05:33:20,10845.4768518519,77,No,1990-06-18 02:20:00,10702.6527777778,123,No
1990-03-01 00:40:00,10811.6805555556,91,Yes,1990-03-16 01:46:40,10796.6342592593,160,Yes
1990-03-23 06:00:00,10789.4583333333,50,No,1990-02-13 23:33:20,10826.7268518519,66,No
1990-02-28 08:00:00,10812.375,105,No,1990-01-11 21:06:40,10859.8287037037,69,No
1990-04-11 06:33:20,10770.4768518519,109,Yes,1990-02-26 06:00:00,10814.4583333333,69,Yes
1990-04-23 13:00:00,10758.2083333333,58,Yes,1990-05-12 23:40:00,10738.7638888889,85,Yes
1990-06-14 09:26:40,10706.3564814815,113,Yes,1990-02-25 07:46:40,10815.3842592593,118,Yes
1990-01-19 12:26:40,10852.1898148148,99,Yes,1990-05-17 09:13:20,10734.3657407407,114,Yes
1990-03-13 23:46:40,10798.7175925926,64,Yes,1990-05-10 16:06:40,10741.0787037037,64,Yes
1990-03-07 01:06:40,10805.662037037,132,Yes,1990-06-18 02:20:00,10702.6527777778,157,Yes
