DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-02-04 17:20:00,10835.9861111111,125,No,1990-06-14 15:00:00,10706.125,115,No
1990-04-20 07:13:20,10761.4490740741,103,Yes,1990-02-02 09:46:40,10838.3009259259,140,Yes
1990-01-11 10:00:00,10860.2916666667,135,Yes,1990-01-05 20:40:00,10865.8472222222,101,Yes
1990-05-17 03:40:00,10734.5972222222,167,Yes,1990-02-20 00:00:00,10820.7083333333,127,Yes
1990-04-19 03:26:40,10762.6064814815,68,Yes,1990-03-07 17:46:40,10804.9675925926,48,Yes
1990-03-03 08:13:20,10809.3657407407,108,Yes,1990-01-03 18:40:00,10867.9305555556,161,Yes
1990-03-24 20:53:20,10787.837962963,69,No,1990-03-28 02:40:00,10784.5972222222,65,No
1990-04-17 01:26:40,10764.6898148148,94,Yes,1990-03-12 08:53:20,10800.337962963,86,Yes
1990-01-16 06:40:00,10855.4305555556,91,No,1990-05-01 15:26:40,10750.1064814815,51,No
1990-05-10 16:06:40,10741.0787037037,108,No,1990-05-24 02:20:00,10727.6527777778,106,No
1990-04-25 09:26:40,10756.3564814815,68,Yes,1990-04-11 12:06:40,10770.2453703704,92,Yes
1990-01-26 16:40:00,10845.0138888889,75,No,1990-06-12 13:00:00,10708.2083333333,83,No
1990-03-13 01:33:20,10799.6435185185,93,No,1990-01-28 18:40:00,10842.9305555556,148,No
1990-06-13 16:46:40,10707.0509259259,62,Yes,1990-01-08 20:53:20,10862.837962963,91,Yes
1990-05-13 05:13:20,10738.5324074074,122,No,1990-02-25 13:20:00,10815.1527777778,132,No
1990-06-15 07:40:00,10705.4305555556,29,No,1990-04-29 02:20:00,10752.6527777778,65,No
1990-03-15 20:13:20,10796.8657407407,65,No,1990-05-22 22:33:20,10728.8101851852,57,No
1990-02-28 08:00:00,10812.375,120,Yes,1990-03-13 23:46:40,10798.7175925926,109,Yes
1990-04-13 14:06:40,10768.162037037,121,Yes,1990-01-18 08:40:00,10853.3472222222,78,Yes
1990-04-17 18:06:40,10763.9953703704,92,No,1990-05-30 19:26:40,10720.9398148148,152,No
1990-02-10 12:13:20,10830.1990740741,71,Yes,1990-02-18 14:40:00,10822.0972222222,79,Yes
1990-04-20 01:40:00,10761.6805555556,74,No,1990-04-16 19:53:20,10764.9212962963,147,No
1990-03-22 07:46:40,10790.3842592593,67,Yes,1990-01-30 04:00:00,10841.5416666667,136,Yes
1990-05-06 12:06:40,10745.2453703704,90,No,1990-06-02 03:00:00,10718.625,132,No
1990-02-03 02:26:40,10837.6064814815,92,Yes,1990-05-19 11:13:20,10732.2824074074,144,Yes
1990-01-09 19:06:40,10861.912037037,121,Yes,1990-04-18 05:13:20,10763.5324074074,196,Yes
1990-03-25 13:33:20,10787.1435185185,115,No,1990-04-15 05:00:00,10766.5416666667,100,No
1990-05-18 13:00:00,10733.2083333333,102,No,1990-05-03 06:20:00,10748.4861111111,75,No
1990-04-24 00:06:40,10757.7453703704,126,Yes,1990-02-12 03:06:40,10828.5787037037,98,Yes
1990-05-26 21:00:00,10724.875,102,No,1990-06-07 21:53:20,10712.837962963,83,No
