DOB,DaysAlive,IQ,Pass,Gender
1990-03-12 14:26:40,10800.1064814815,74,Yes,Male
1990-01-11 04:26:40,10860.5231481481,79,Yes,Male
1990-05-25 17:13:20,10726.0324074074,81,No,Male
1990-04-13 08:33:20,10768.3935185185,82,No,Male
1990-03-04 00:53:20,10808.6712962963,143,Yes,Male
1990-01-12 13:46:40,10859.1342592593,103,Yes,Male
1990-05-14 20:06:40,10736.912037037,90,No,Male
1990-05-23 20:46:40,10727.8842592593,92,No,Male
1990-05-15 12:46:40,10736.2175925926,95,No,Male
1990-06-18 19:00:00,10701.9583333333,115,No,Male
1990-02-04 22:53:20,10835.7546296296,123,No,Male
1990-05-21 18:46:40,10729.9675925926,91,Yes,Male
1990-05-25 11:40:00,10726.2638888889,75,Yes,Male
1990-02-07 00:53:20,10833.6712962963,65,Yes,Male
1990-03-16 18:26:40,10795.9398148148,34,Yes,Male
1990-01-02 03:46:40,10869.5509259259,153,No,Male
1990-06-01 10:20:00,10719.3194444444,89,No,Male
1990-01-23 22:00:00,10847.7916666667,136,No,Male
1990-02-23 00:13:20,10817.6990740741,116,No,Male
1990-03-20 16:53:20,10792.0046296296,139,Yes,Male
1990-05-29 21:13:20,10721.8657407407,93,Yes,Male
1990-05-03 00:46:40,10748.7175925926,110,No,Male
1990-05-12 18:06:40,10738.9953703704,104,Yes,Male
1990-03-07 06:40:00,10805.4305555556,139,No,Male
1990-02-02 15:20:00,10838.0694444444,91,Yes,Male
1990-02-13 06:53:20,10827.4212962963,112,Yes,Male
1990-02-15 03:20:00,10825.5694444444,115,No,Male
1990-01-25 18:26:40,10845.9398148148,89,No,Male
1990-02-23 22:26:40,10816.7731481481,122,Yes,Male
1990-04-23 18:33:20,10757.9768518519,126,No,Male
1990-01-12 02:40:00,10859.5972222222,132,No,Male
1990-03-17 22:13:20,10794.7824074074,120,No,Male
1990-06-14 20:33:20,10705.8935185185,62,Yes,Male
1990-06-08 03:26:40,10712.6064814815,96,No,Male
1990-06-14 15:00:00,10706.125,89,No,Male
1990-06-07 05:13:20,10713.5324074074,125,Yes,Male
1990-05-20 03:53:20,10731.587962963,123,No,Male
1990-03-02 10:00:00,10810.2916666667,129,Yes,Male
1990-02-13 23:33:20,10826.7268518519,102,No,Male
1990-04-30 17:13:20,10751.0324074074,54,No,Male
1990-03-30 21:20:00,10781.8194444444,99,Yes,Male
1990-01-25 01:46:40,10846.6342592593,124,No,Male
1990-06-03 17:53:20,10717.0046296296,68,No,Male
1990-02-01 06:00:00,10839.4583333333,97,No,Male
1990-01-23 22:00:00,10847.7916666667,139,Yes,Male
1990-05-09 12:20:00,10742.2361111111,92,Yes,Male
1990-03-29 00:53:20,10783.6712962963,135,Yes,Male
1990-04-22 14:46:40,10759.1342592593,106,Yes,Male
1990-05-30 19:26:40,10720.9398148148,148,Yes,Male
1990-01-09 02:26:40,10862.6064814815,111,No,Male
1990-06-11 03:40:00,10709.5972222222,137,Yes,Male
1990-03-07 23:20:00,10804.7361111111,105,Yes,Male
1990-02-18 09:06:40,10822.3287037037,125,No,Male
1990-05-20 20:33:20,10730.8935185185,49,Yes,Male
1990-04-10 02:46:40,10771.6342592593,96,No,Male
1990-05-31 01:00:00,10720.7083333333,140,No,Male
1990-01-16 12:13:20,10855.1990740741,82,Yes,Male
1990-06-15 07:40:00,10705.4305555556,81,No,Male
1990-05-27 08:06:40,10724.412037037,104,Yes,Male
1990-05-11 03:13:20,10740.6157407407,130,Yes,Male
1990-01-27 14:53:20,10844.087962963,38,No,Male
1990-01-06 07:46:40,10865.3842592593,127,No,Male
1990-02-13 23:33:20,10826.7268518519,86,No,Male
1990-01-29 05:46:40,10842.4675925926,141,No,Male
1990-04-18 05:13:20,10763.5324074074,148,No,Male
1990-01-11 10:00:00,10860.2916666667,75,No,Male
1990-05-28 11:53:20,10723.2546296296,112,No,Male
1990-06-06 18:06:40,10713.9953703704,148,Yes,Male
1990-05-18 18:33:20,10732.9768518519,119,Yes,Male
