DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-01-02 14:53:20,10869.087962963,149,No,1990-05-08 19:40:00,10742.9305555556,67,No
1990-02-16 18:13:20,10823.9490740741,133,Yes,1990-03-04 06:26:40,10808.4398148148,31,Yes
1990-05-28 00:46:40,10723.7175925926,64,No,1990-03-25 13:33:20,10787.1435185185,74,No
1990-01-19 06:53:20,10852.4212962963,132,Yes,1990-02-03 13:33:20,10837.1435185185,67,Yes
1990-06-13 11:13:20,10707.2824074074,117,Yes,1990-01-06 07:46:40,10865.3842592593,80,Yes
1990-01-27 03:46:40,10844.5509259259,89,Yes,1990-01-11 04:26:40,10860.5231481481,101,Yes
1990-04-25 20:33:20,10755.8935185185,80,Yes,1990-02-13 12:26:40,10827.1898148148,77,Yes
1990-04-02 05:53:20,10779.5046296296,68,No,1990-04-05 17:13:20,10776.0324074074,96,No
1990-04-15 21:40:00,10765.8472222222,89,Yes,1990-06-02 14:06:40,10718.162037037,130,Yes
1990-05-07 10:20:00,10744.3194444444,88,Yes,1990-01-06 13:20:00,10865.1527777778,112,Yes
1990-03-31 19:33:20,10780.8935185185,104,Yes,1990-01-02 09:20:00,10869.3194444444,136,Yes
1990-04-12 15:53:20,10769.087962963,119,Yes,1990-01-04 00:13:20,10867.6990740741,115,Yes
1990-04-27 05:53:20,10754.5046296296,114,Yes,1990-02-25 13:20:00,10815.1527777778,116,Yes
1990-01-04 16:53:20,10867.0046296296,86,Yes,1990-04-05 11:40:00,10776.2638888889,134,Yes
1990-04-09 15:40:00,10772.0972222222,118,No,1990-01-04 22:26:40,10866.7731481481,109,No
1990-06-09 23:53:20,10710.7546296296,122,Yes,1990-02-23 16:53:20,10817.0046296296,108,Yes
1990-02-18 09:06:40,10822.3287037037,72,No,1990-02-13 06:53:20,10827.4212962963,79,No
1990-01-15 02:53:20,10856.587962963,158,Yes,1990-02-04 06:13:20,10836.4490740741,126,Yes
1990-05-15 23:53:20,10735.7546296296,44,No,1990-05-05 08:20:00,10746.4027777778,113,No
1990-01-27 09:20:00,10844.3194444444,35,No,1990-05-19 05:40:00,10732.5138888889,78,No
1990-01-28 18:40:00,10842.9305555556,38,No,1990-05-21 13:13:20,10730.1990740741,152,No
1990-01-21 08:53:20,10850.337962963,134,Yes,1990-03-08 16:00:00,10804.0416666667,68,Yes
1990-01-04 05:46:40,10867.4675925926,56,No,1990-06-04 10:33:20,10716.3101851852,116,No
1990-04-24 05:40:00,10757.5138888889,110,Yes,1990-01-23 22:00:00,10847.7916666667,94,Yes
1990-03-23 11:33:20,10789.2268518519,103,No,1990-01-03 13:06:40,10868.162037037,149,No
1990-01-20 21:46:40,10850.8009259259,82,Yes,1990-04-06 09:53:20,10775.337962963,79,Yes
1990-03-17 00:00:00,10795.7083333333,98,Yes,1990-03-19 18:40:00,10792.9305555556,159,Yes
1990-06-03 17:53:20,10717.0046296296,89,No,1990-05-17 14:46:40,10734.1342592593,98,No
1990-03-07 01:06:40,10805.662037037,132,No,1990-01-01 22:13:20,10869.7824074074,101,No
1990-05-08 14:06:40,10743.162037037,77,Yes,1990-01-07 11:33:20,10864.2268518519,88,Yes
1990-05-31 17:40:00,10720.0138888889,158,Yes,1990-05-01 15:26:40,10750.1064814815,66,Yes
1990-01-01 16:40:00,10870.0138888889,78,Yes,1990-03-18 20:26:40,10793.8564814815,102,Yes
1990-03-28 02:40:00,10784.5972222222,114,Yes,1990-04-22 03:40:00,10759.5972222222,74,Yes
1990-06-18 02:20:00,10702.6527777778,95,Yes,1990-01-03 02:00:00,10868.625,97,Yes
1990-05-16 11:00:00,10735.2916666667,118,No,1990-06-07 10:46:40,10713.3009259259,117,No
1990-01-24 09:06:40,10847.3287037037,134,Yes,1990-03-26 00:40:00,10786.6805555556,113,Yes
