DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-05-17 09:13:20,10734.3657407407,87,No,1990-05-17 09:13:20,10734.3657407407,118,No
1990-05-28 23:00:00,10722.7916666667,123,Yes,1990-01-19 06:53:20,10852.4212962963,119,Yes
1990-03-06 14:00:00,10806.125,107,Yes,1990-05-21 02:06:40,10730.662037037,92,Yes
1990-02-28 08:00:00,10812.375,101,Yes,1990-02-28 02:26:40,10812.6064814815,105,Yes
1990-03-09 08:40:00,10803.3472222222,110,No,1990-05-01 15:26:40,10750.1064814815,91,No
1990-05-10 16:06:40,10741.0787037037,114,Yes,1990-03-31 14:00:00,10781.125,134,Yes
1990-05-24 02:20:00,10727.6527777778,26,No,1990-05-10 05:00:00,10741.5416666667,90,No
1990-05-31 01:00:00,10720.7083333333,47,No,1990-06-15 07:40:00,10705.4305555556,98,No
1990-01-14 10:13:20,10857.2824074074,152,No,1990-03-24 15:20:00,10788.0694444444,73,No
1990-06-06 18:06:40,10713.9953703704,83,Yes,1990-02-11 16:00:00,10829.0416666667,75,Yes
1990-05-10 16:06:40,10741.0787037037,166,No,1990-03-17 11:06:40,10795.2453703704,153,No
1990-03-18 03:46:40,10794.5509259259,117,No,1990-02-04 00:40:00,10836.6805555556,105,No
1990-02-23 00:13:20,10817.6990740741,106,Yes,1990-01-27 09:20:00,10844.3194444444,122,Yes
1990-03-16 12:53:20,10796.1712962963,99,Yes,1990-04-11 23:13:20,10769.7824074074,99,Yes
1990-03-04 12:00:00,10808.2083333333,75,No,1990-02-08 04:40:00,10832.5138888889,69,No
1990-04-26 07:40:00,10755.4305555556,110,No,1990-05-28 17:26:40,10723.0231481481,117,No
1990-01-31 18:53:20,10839.9212962963,84,Yes,1990-03-15 09:06:40,10797.3287037037,118,Yes
1990-05-27 13:40:00,10724.1805555556,128,Yes,1990-03-14 10:53:20,10798.2546296296,60,Yes
1990-03-28 19:20:00,10783.9027777778,86,No,1990-04-29 07:53:20,10752.4212962963,123,No
1990-04-14 12:20:00,10767.2361111111,101,No,1990-04-29 13:26:40,10752.1898148148,127,No
1990-05-18 18:33:20,10732.9768518519,140,No,1990-04-13 03:00:00,10768.625,128,No
1990-06-09 01:40:00,10711.6805555556,118,No,1990-04-16 08:46:40,10765.3842592593,47,No
1990-03-31 02:53:20,10781.587962963,122,No,1990-01-06 18:53:20,10864.9212962963,104,No
1990-06-10 16:33:20,10710.0601851852,40,No,1990-04-06 04:20:00,10775.5694444444,69,No
1990-02-05 21:06:40,10834.8287037037,107,Yes,1990-06-11 09:13:20,10709.3657407407,141,Yes
1990-05-24 07:53:20,10727.4212962963,70,Yes,1990-02-05 04:26:40,10835.5231481481,100,Yes
1990-04-10 13:53:20,10771.1712962963,61,Yes,1990-02-12 03:06:40,10828.5787037037,141,Yes
1990-04-12 04:46:40,10769.5509259259,85,Yes,1990-01-26 16:40:00,10845.0138888889,75,Yes
1990-05-25 22:46:40,10725.8009259259,114,Yes,1990-01-03 07:33:20,10868.3935185185,102,Yes
1990-01-26 11:06:40,10845.2453703704,98,No,1990-03-13 07:06:40,10799.412037037,79,No
1990-05-11 03:13:20,10740.6157407407,98,No,1990-04-08 00:46:40,10773.7175925926,112,No
1990-02-04 00:40:00,10836.6805555556,119,Yes,1990-01-05 15:06:40,10866.0787037037,155,Yes
1990-05-19 11:13:20,10732.2824074074,88,Yes,1990-04-11 12:06:40,10770.2453703704,87,Yes
1990-02-10 23:20:00,10829.7361111111,44,No,1990-01-24 09:06:40,10847.3287037037,78,No
1990-04-29 13:26:40,10752.1898148148,106,No,1990-06-08 09:00:00,10712.375,69,No
1990-01-28 07:33:20,10843.3935185185,105,Yes,1990-06-09 01:40:00,10711.6805555556,127,Yes
1990-02-22 18:40:00,10817.9305555556,36,No,1990-03-23 00:26:40,10789.6898148148,157,No
1990-01-07 11:33:20,10864.2268518519,126,Yes,1990-06-03 12:20:00,10717.2361111111,128,Yes
1990-06-03 23:26:40,10716.7731481481,77,Yes,1990-01-04 16:53:20,10867.0046296296,79,Yes
1990-06-18 19:00:00,10701.9583333333,77,Yes,1990-01-22 23:46:40,10848.7175925926,65,Yes
1990-05-29 21:13:20,10721.8657407407,67,No,1990-02-16 12:40:00,10824.1805555556,107,No
1990-04-15 05:00:00,10766.5416666667,87,No,1990-05-06 06:33:20,10745.4768518519,80,No
1990-04-05 17:13:20,10776.0324074074,82,Yes,1990-05-17 03:40:00,10734.5972222222,119,Yes
1990-04-13 03:00:00,10768.625,97,No,1990-04-22 09:13:20,10759.3657407407,75,No
1990-01-13 17:33:20,10857.9768518519,123,No,1990-05-28 00:46:40,10723.7175925926,119,No
1990-06-01 10:20:00,10719.3194444444,83,Yes,1990-03-21 20:40:00,10790.8472222222,95,Yes
1990-05-25 00:33:20,10726.7268518519,136,Yes,1990-02-03 13:33:20,10837.1435185185,59,Yes
1990-01-13 23:06:40,10857.7453703704,141,No,1990-05-18 01:53:20,10733.6712962963,101,No
1990-05-02 13:40:00,10749.1805555556,55,Yes,1990-02-12 03:06:40,10828.5787037037,89,Yes
1990-01-17 10:26:40,10854.2731481481,77,Yes,1990-06-07 10:46:40,10713.3009259259,72,Yes
1990-06-07 05:13:20,10713.5324074074,69,Yes,1990-05-19 05:40:00,10732.5138888889,65,Yes
1990-05-03 00:46:40,10748.7175925926,109,Yes,1990-05-27 19:13:20,10723.9490740741,100,Yes
1990-03-02 21:06:40,10809.8287037037,136,No,1990-01-30 15:06:40,10841.0787037037,145,No
1990-04-27 05:53:20,10754.5046296296,74,No,1990-06-11 03:40:00,10709.5972222222,101,No
1990-04-14 17:53:20,10767.0046296296,108,Yes,1990-02-11 21:33:20,10828.8101851852,53,Yes
1990-03-31 08:26:40,10781.3564814815,53,No,1990-02-03 02:26:40,10837.6064814815,83,No
1990-06-05 03:13:20,10715.6157407407,114,No,1990-02-15 08:53:20,10825.337962963,98,No
1990-03-06 02:53:20,10806.587962963,80,Yes,1990-05-31 06:33:20,10720.4768518519,66,Yes
1990-03-05 21:20:00,10806.8194444444,145,Yes,1990-06-03 01:13:20,10717.6990740741,122,Yes
1990-03-09 14:13:20,10803.1157407407,116,Yes,1990-03-28 13:46:40,10784.1342592593,79,Yes
1990-02-21 14:53:20,10819.087962963,134,Yes,1990-05-18 13:00:00,10733.2083333333,87,Yes
1990-06-16 22:33:20,10703.8101851852,158,Yes,1990-01-17 21:33:20,10853.8101851852,54,Yes
1990-01-29 05:46:40,10842.4675925926,94,No,1990-05-25 17:13:20,10726.0324074074,97,No
1990-01-25 01:46:40,10846.6342592593,88,No,1990-04-15 16:06:40,10766.0787037037,163,No
1990-03-20 16:53:20,10792.0046296296,104,Yes,1990-05-09 06:46:40,10742.4675925926,46,Yes
1990-04-26 18:46:40,10754.9675925926,61,Yes,1990-04-24 16:46:40,10757.0509259259,38,Yes
1990-02-01 00:26:40,10839.6898148148,55,Yes,1990-06-17 15:13:20,10703.1157407407,120,Yes
1990-02-02 15:20:00,10838.0694444444,166,Yes,1990-02-26 11:33:20,10814.2268518519,132,Yes
1990-01-06 02:13:20,10865.6157407407,119,No,1990-01-27 03:46:40,10844.5509259259,99,No
1990-05-31 01:00:00,10720.7083333333,166,No,1990-02-09 02:53:20,10831.587962963,38,No
1990-02-10 17:46:40,10829.9675925926,156,No,1990-04-21 22:06:40,10759.8287037037,73,No
1990-02-05 15:33:20,10835.0601851852,64,No,1990-05-26 21:00:00,10724.875,83,No
1990-03-10 01:20:00,10802.6527777778,53,No,1990-03-23 17:06:40,10788.9953703704,87,No
1990-04-17 07:00:00,10764.4583333333,96,Yes,1990-05-02 13:40:00,10749.1805555556,52,Yes
1990-02-22 02:00:00,10818.625,113,Yes,1990-01-29 22:26:40,10841.7731481481,129,Yes
1990-04-25 03:53:20,10756.587962963,123,No,1990-06-03 23:26:40,10716.7731481481,96,No
1990-05-27 13:40:00,10724.1805555556,112,Yes,1990-04-15 21:40:00,10765.8472222222,97,Yes
1990-04-30 17:13:20,10751.0324074074,97,No,1990-05-04 10:06:40,10747.3287037037,75,No
1990-04-15 16:06:40,10766.0787037037,131,Yes,1990-01-08 09:46:40,10863.3009259259,81,Yes
1990-02-23 22:26:40,10816.7731481481,81,No,1990-01-24 09:06:40,10847.3287037037,127,No
1990-05-13 16:20:00,10738.0694444444,110,Yes,1990-05-19 05:40:00,10732.5138888889,104,Yes
1990-03-29 06:26:40,10783.4398148148,94,No,1990-06-15 18:46:40,10704.9675925926,53,No
1990-06-10 11:00:00,10710.2916666667,22,No,1990-01-05 09:33:20,10866.3101851852,117,No
1990-01-22 18:13:20,10848.9490740741,94,No,1990-03-15 03:33:20,10797.5601851852,103,No
1990-02-11 10:26:40,10829.2731481481,114,Yes,1990-02-06 19:20:00,10833.9027777778,124,Yes
1990-06-10 05:26:40,10710.5231481481,95,Yes,1990-01-19 18:00:00,10851.9583333333,132,Yes
1990-03-11 16:13:20,10801.0324074074,143,No,1990-06-17 20:46:40,10702.8842592593,35,No
1990-03-05 04:40:00,10807.5138888889,100,Yes,1990-06-08 20:06:40,10711.912037037,108,Yes
1990-05-28 11:53:20,10723.2546296296,148,Yes,1990-03-23 00:26:40,10789.6898148148,101,Yes
1990-03-31 19:33:20,10780.8935185185,85,Yes,1990-03-02 21:06:40,10809.8287037037,92,Yes
1990-02-25 02:13:20,10815.6157407407,154,Yes,1990-05-18 13:00:00,10733.2083333333,106,Yes
1990-05-02 02:33:20,10749.6435185185,97,Yes,1990-06-05 14:20:00,10715.1527777778,130,Yes
1990-06-11 20:20:00,10708.9027777778,76,Yes,1990-05-28 23:00:00,10722.7916666667,93,Yes
1990-04-23 07:26:40,10758.4398148148,75,No,1990-06-07 16:20:00,10713.0694444444,141,No
1990-01-12 19:20:00,10858.9027777778,112,Yes,1990-01-26 11:06:40,10845.2453703704,96,Yes
1990-04-17 23:40:00,10763.7638888889,80,No,1990-04-11 17:40:00,10770.0138888889,138,No
1990-02-26 22:40:00,10813.7638888889,150,No,1990-02-27 15:20:00,10813.0694444444,84,No
1990-03-03 08:13:20,10809.3657407407,100,Yes,1990-05-01 21:00:00,10749.875,80,Yes
1990-06-09 18:20:00,10710.9861111111,124,No,1990-04-21 11:00:00,10760.2916666667,71,No
1990-05-25 17:13:20,10726.0324074074,66,Yes,1990-03-15 14:40:00,10797.0972222222,72,Yes
1990-06-06 18:06:40,10713.9953703704,100,Yes,1990-06-06 12:33:20,10714.2268518519,67,Yes
1990-02-20 16:40:00,10820.0138888889,92,Yes,1990-01-04 16:53:20,10867.0046296296,135,Yes
1990-06-14 03:53:20,10706.587962963,71,Yes,1990-04-02 17:00:00,10779.0416666667,80,Yes
1990-03-05 04:40:00,10807.5138888889,136,No,1990-05-25 22:46:40,10725.8009259259,72,No
1990-02-04 11:46:40,10836.2175925926,65,Yes,1990-01-16 12:13:20,10855.1990740741,87,Yes
1990-05-12 12:33:20,10739.2268518519,36,No,1990-04-18 10:46:40,10763.3009259259,64,No
1990-06-02 03:00:00,10718.625,120,Yes,1990-03-23 06:00:00,10789.4583333333,120,Yes
