DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-02-14 10:40:00,10826.2638888889,124,No,1990-03-09 08:40:00,10803.3472222222,94,No
1990-02-19 18:26:40,10820.9398148148,158,Yes,1990-05-10 21:40:00,10740.8472222222,71,Yes
1990-03-30 21:20:00,10781.8194444444,133,Yes,1990-04-08 11:53:20,10773.2546296296,65,Yes
1990-04-27 05:53:20,10754.5046296296,127,No,1990-02-19 18:26:40,10820.9398148148,176,No
1990-04-17 12:33:20,10764.2268518519,125,Yes,1990-01-17 04:53:20,10854.5046296296,103,Yes
1990-05-15 07:13:20,10736.4490740741,144,Yes,1990-01-28 02:00:00,10843.625,68,Yes
1990-03-15 20:13:20,10796.8657407407,106,No,1990-06-05 19:53:20,10714.9212962963,86,No
1990-05-13 05:13:20,10738.5324074074,124,No,1990-05-02 08:06:40,10749.412037037,129,No
1990-02-17 10:53:20,10823.2546296296,75,Yes,1990-03-27 21:06:40,10784.8287037037,55,Yes
1990-05-25 17:13:20,10726.0324074074,93,Yes,1990-02-08 10:13:20,10832.2824074074,87,Yes
1990-02-21 09:20:00,10819.3194444444,74,No,1990-04-04 07:53:20,10777.4212962963,156,No
1990-01-14 04:40:00,10857.5138888889,50,Yes,1990-01-10 17:20:00,10860.9861111111,88,Yes
1990-01-19 12:26:40,10852.1898148148,133,No,1990-06-02 08:33:20,10718.3935185185,112,No
1990-05-30 19:26:40,10720.9398148148,79,No,1990-05-13 21:53:20,10737.837962963,83,No
1990-02-03 13:33:20,10837.1435185185,90,No,1990-06-09 12:46:40,10711.2175925926,58,No
1990-01-10 00:40:00,10861.6805555556,117,No,1990-02-20 05:33:20,10820.4768518519,174,No
1990-02-10 17:46:40,10829.9675925926,111,No,1990-03-08 04:53:20,10804.5046296296,152,No
1990-05-01 15:26:40,10750.1064814815,81,Yes,1990-05-27 19:13:20,10723.9490740741,84,Yes
1990-04-18 21:53:20,10762.837962963,70,No,1990-02-19 12:53:20,10821.1712962963,139,No
1990-05-18 01:53:20,10733.6712962963,102,Yes,1990-06-18 19:00:00,10701.9583333333,102,Yes
1990-02-15 14:26:40,10825.1064814815,63,Yes,1990-02-27 20:53:20,10812.837962963,128,Yes
1990-05-06 01:00:00,10745.7083333333,109,Yes,1990-01-09 02:26:40,10862.6064814815,123,Yes
1990-03-01 11:46:40,10811.2175925926,122,No,1990-03-03 13:46:40,10809.1342592593,53,No
1990-02-18 20:13:20,10821.8657407407,111,No,1990-02-17 10:53:20,10823.2546296296,80,No
1990-03-11 10:40:00,10801.2638888889,95,No,1990-02-23 05:46:40,10817.4675925926,110,No
1990-05-23 20:46:40,10727.8842592593,86,No,1990-06-05 08:46:40,10715.3842592593,112,No
1990-03-10 12:26:40,10802.1898148148,75,No,1990-05-22 11:26:40,10729.2731481481,102,No
1990-05-20 15:00:00,10731.125,92,Yes,1990-04-16 14:20:00,10765.1527777778,126,Yes
1990-04-03 20:46:40,10777.8842592593,92,No,1990-01-17 04:53:20,10854.5046296296,97,No
1990-01-07 17:06:40,10863.9953703704,86,Yes,1990-05-03 23:00:00,10747.7916666667,119,Yes
1990-03-22 02:13:20,10790.6157407407,73,No,1990-03-16 12:53:20,10796.1712962963,105,No
1990-02-05 21:06:40,10834.8287037037,111,Yes,1990-01-05 20:40:00,10865.8472222222,133,Yes
1990-06-12 13:00:00,10708.2083333333,65,Yes,1990-02-15 08:53:20,10825.337962963,144,Yes
1990-05-25 11:40:00,10726.2638888889,105,No,1990-05-07 10:20:00,10744.3194444444,88,No
1990-06-14 09:26:40,10706.3564814815,134,No,1990-04-24 00:06:40,10757.7453703704,68,No
1990-04-16 14:20:00,10765.1527777778,125,No,1990-01-27 20:26:40,10843.8564814815,101,No
1990-03-26 22:53:20,10785.7546296296,77,Yes,1990-05-07 21:26:40,10743.8564814815,112,Yes
1990-04-06 15:26:40,10775.1064814815,84,No,1990-04-15 05:00:00,10766.5416666667,84,No
1990-05-22 00:20:00,10729.7361111111,130,No,1990-02-13 01:20:00,10827.6527777778,82,No
1990-02-08 10:13:20,10832.2824074074,96,Yes,1990-02-03 02:26:40,10837.6064814815,175,Yes
1990-06-11 09:13:20,10709.3657407407,93,Yes,1990-02-10 06:40:00,10830.4305555556,120,Yes
1990-05-22 05:53:20,10729.5046296296,110,Yes,1990-02-06 08:13:20,10834.3657407407,100,Yes
1990-05-22 22:33:20,10728.8101851852,110,No,1990-01-07 17:06:40,10863.9953703704,58,No
1990-02-23 00:13:20,10817.6990740741,72,No,1990-01-27 14:53:20,10844.087962963,160,No
1990-01-04 11:20:00,10867.2361111111,163,Yes,1990-05-02 08:06:40,10749.412037037,124,Yes
1990-02-06 13:46:40,10834.1342592593,105,Yes,1990-04-03 04:06:40,10778.5787037037,59,Yes
1990-03-14 22:00:00,10797.7916666667,160,No,1990-05-19 05:40:00,10732.5138888889,104,No
1990-03-17 16:40:00,10795.0138888889,70,No,1990-05-17 09:13:20,10734.3657407407,121,No
1990-04-06 21:00:00,10774.875,90,Yes,1990-01-20 10:40:00,10851.2638888889,105,Yes
1990-05-04 21:13:20,10746.8657407407,150,Yes,1990-01-25 12:53:20,10846.1712962963,99,Yes
1990-04-14 23:26:40,10766.7731481481,63,No,1990-05-25 11:40:00,10726.2638888889,150,No
1990-06-10 16:33:20,10710.0601851852,100,Yes,1990-05-31 23:13:20,10719.7824074074,127,Yes
1990-02-19 12:53:20,10821.1712962963,77,No,1990-04-27 05:53:20,10754.5046296296,92,No
1990-03-22 18:53:20,10789.9212962963,131,Yes,1990-04-24 05:40:00,10757.5138888889,116,Yes
1990-04-14 01:13:20,10767.6990740741,45,No,1990-03-11 16:13:20,10801.0324074074,80,No
1990-05-15 18:20:00,10735.9861111111,92,Yes,1990-06-16 05:53:20,10704.5046296296,95,Yes
1990-06-14 15:00:00,10706.125,111,No,1990-04-18 16:20:00,10763.0694444444,119,No
1990-04-21 05:26:40,10760.5231481481,99,Yes,1990-02-28 02:26:40,10812.6064814815,76,Yes
1990-05-27 19:13:20,10723.9490740741,108,No,1990-04-22 03:40:00,10759.5972222222,51,No
1990-04-10 08:20:00,10771.4027777778,92,No,1990-04-08 23:00:00,10772.7916666667,155,No
1990-03-26 06:13:20,10786.4490740741,110,No,1990-03-25 13:33:20,10787.1435185185,139,No
1990-02-13 18:00:00,10826.9583333333,86,Yes,1990-04-10 19:26:40,10770.9398148148,78,Yes
1990-03-21 04:00:00,10791.5416666667,65,No,1990-02-07 23:06:40,10832.7453703704,107,No
1990-05-25 06:06:40,10726.4953703704,67,No,1990-01-20 05:06:40,10851.4953703704,159,No
1990-03-14 22:00:00,10797.7916666667,86,Yes,1990-02-24 15:06:40,10816.0787037037,116,Yes
1990-01-08 20:53:20,10862.837962963,133,No,1990-03-19 13:06:40,10793.162037037,133,No
1990-06-08 09:00:00,10712.375,114,Yes,1990-01-25 18:26:40,10845.9398148148,116,Yes
1990-05-25 00:33:20,10726.7268518519,21,Yes,1990-03-18 20:26:40,10793.8564814815,100,Yes
1990-02-25 18:53:20,10814.9212962963,121,No,1990-01-01 22:13:20,10869.7824074074,134,No
1990-04-26 02:06:40,10755.662037037,110,No,1990-01-01 16:40:00,10870.0138888889,123,No
1990-03-04 00:53:20,10808.6712962963,98,No,1990-06-17 15:13:20,10703.1157407407,131,No
1990-01-17 04:53:20,10854.5046296296,107,No,1990-04-27 17:00:00,10754.0416666667,106,No
1990-05-16 11:00:00,10735.2916666667,73,No,1990-04-27 00:20:00,10754.7361111111,93,No
1990-05-22 17:00:00,10729.0416666667,58,No,1990-04-08 23:00:00,10772.7916666667,83,No
1990-06-04 10:33:20,10716.3101851852,50,Yes,1990-02-04 11:46:40,10836.2175925926,93,Yes
1990-01-28 18:40:00,10842.9305555556,83,No,1990-04-21 22:06:40,10759.8287037037,88,No
1990-04-17 12:33:20,10764.2268518519,67,No,1990-04-30 00:33:20,10751.7268518519,77,No
1990-03-23 22:40:00,10788.7638888889,67,Yes,1990-03-10 01:20:00,10802.6527777778,46,Yes
1990-02-11 21:33:20,10828.8101851852,103,Yes,1990-02-03 19:06:40,10836.912037037,31,Yes
1990-02-03 13:33:20,10837.1435185185,40,Yes,1990-03-13 12:40:00,10799.1805555556,182,Yes
1990-01-16 23:20:00,10854.7361111111,91,No,1990-02-04 17:20:00,10835.9861111111,123,No
1990-01-17 16:00:00,10854.0416666667,89,Yes,1990-04-22 03:40:00,10759.5972222222,158,Yes
1990-03-16 07:20:00,10796.4027777778,151,Yes,1990-02-21 14:53:20,10819.087962963,57,Yes
1990-04-15 16:06:40,10766.0787037037,129,No,1990-01-27 20:26:40,10843.8564814815,128,No
1990-05-31 17:40:00,10720.0138888889,77,Yes,1990-01-16 12:13:20,10855.1990740741,84,Yes
1990-03-30 10:13:20,10782.2824074074,170,Yes,1990-01-01 11:06:40,10870.2453703704,36,Yes
1990-02-10 06:40:00,10830.4305555556,101,No,1990-05-06 12:06:40,10745.2453703704,116,No
1990-04-23 18:33:20,10757.9768518519,118,Yes,1990-02-10 06:40:00,10830.4305555556,151,Yes
1990-03-27 15:33:20,10785.0601851852,104,Yes,1990-04-25 20:33:20,10755.8935185185,119,Yes
1990-01-22 23:46:40,10848.7175925926,89,Yes,1990-01-04 16:53:20,10867.0046296296,128,Yes
1990-05-02 19:13:20,10748.9490740741,83,Yes,1990-04-06 21:00:00,10774.875,114,Yes
1990-01-12 13:46:40,10859.1342592593,129,No,1990-01-27 14:53:20,10844.087962963,84,No
1990-05-23 04:06:40,10728.5787037037,92,Yes,1990-04-22 03:40:00,10759.5972222222,80,Yes
1990-03-05 15:46:40,10807.0509259259,89,No,1990-03-09 08:40:00,10803.3472222222,83,No
