DOB_Male,DaysAlive_Male,IQ_Male,Pass_Female,DOB_Female,DaysAlive_Female,IQ_Female,Pass_Female.1
1990-03-24 04:13:20,10788.5324074074,89,No,1990-05-15 23:53:20,10735.7546296296,121,No
1990-01-07 17:06:40,10863.9953703704,87,No,1990-05-17 03:40:00,10734.5972222222,70,No
1990-04-24 11:13:20,10757.2824074074,79,No,1990-06-17 09:40:00,10703.3472222222,73,No
1990-01-12 08:13:20,10859.3657407407,83,No,1990-01-08 15:20:00,10863.0694444444,103,No
1990-03-11 21:46:40,10800.8009259259,126,No,1990-04-14 23:26:40,10766.7731481481,79,No
1990-05-08 03:00:00,10743.625,93,No,1990-03-07 23:20:00,10804.7361111111,127,No
1990-04-17 07:00:00,10764.4583333333,156,Yes,1990-03-09 14:13:20,10803.1157407407,-2,Yes
1990-05-09 17:53:20,10742.0046296296,149,Yes,1990-01-13 23:06:40,10857.7453703704,89,Yes
1990-06-07 21:53:20,10712.837962963,84,No,1990-03-07 01:06:40,10805.662037037,106,No
1990-06-12 07:26:40,10708.4398148148,69,No,1990-01-27 09:20:00,10844.3194444444,97,No
1990-01-25 01:46:40,10846.6342592593,81,No,1990-06-12 13:00:00,10708.2083333333,150,No
1990-06-04 10:33:20,10716.3101851852,115,No,1990-02-25 07:46:40,10815.3842592593,86,No
1990-05-09 12:20:00,10742.2361111111,86,Yes,1990-01-06 02:13:20,10865.6157407407,167,Yes
1990-01-18 19:46:40,10852.8842592593,40,Yes,1990-01-27 03:46:40,10844.5509259259,45,Yes
1990-03-11 05:06:40,10801.4953703704,81,Yes,1990-03-07 23:20:00,10804.7361111111,111,Yes
1990-04-24 00:06:40,10757.7453703704,87,No,1990-01-20 05:06:40,10851.4953703704,109,No
1990-05-09 17:53:20,10742.0046296296,102,No,1990-06-01 15:53:20,10719.087962963,127,No
1990-01-08 15:20:00,10863.0694444444,58,No,1990-01-07 06:00:00,10864.4583333333,127,No
1990-05-05 08:20:00,10746.4027777778,107,No,1990-02-26 17:06:40,10813.9953703704,108,No
1990-02-13 23:33:20,10826.7268518519,116,Yes,1990-06-13 00:06:40,10707.7453703704,111,Yes
1990-03-17 05:33:20,10795.4768518519,64,Yes,1990-04-23 01:53:20,10758.6712962963,124,Yes
1990-01-29 22:26:40,10841.7731481481,103,No,1990-03-22 13:20:00,10790.1527777778,96,No
1990-05-12 01:26:40,10739.6898148148,102,Yes,1990-01-30 04:00:00,10841.5416666667,109,Yes
1990-04-17 07:00:00,10764.4583333333,116,Yes,1990-02-12 19:46:40,10827.8842592593,164,Yes
1990-03-28 08:13:20,10784.3657407407,130,Yes,1990-05-10 21:40:00,10740.8472222222,56,Yes
1990-01-28 13:06:40,10843.162037037,136,Yes,1990-05-16 16:33:20,10735.0601851852,87,Yes
1990-04-09 21:13:20,10771.8657407407,110,No,1990-05-05 13:53:20,10746.1712962963,124,No
