Predator_individual_number,Predator_order,Predator_family,Predator_species,Predator_development_stage,Predator_body_length_[mm,_measured],Predator_body_mass_[mg,_calculated]_,Predator_sex,Study_site,Collection_date,Consumption_prey_Araneae,Consumption_prey_Diptera,Consumption_prey_Gamasidae,Consumption_prey_Isopoda,Consumption_prey_Lumbricidae,Consumption_prey_Oribatida,Consumption_prey_Staphylinidae,Consumption_prey_Collembola,Consumption_prey_Ceratophysella_denticulata,Consumption_prey_Folsomia_quadrioculata,Consumption_prey_Lepidocyrtus_lanuginosus,Consumption_prey_Protaphorura_armata,Consumption_prey_Pogonognathellus_longicornis,Consumption_prey_Lithobiidae
1895,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,8.10.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1897,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,subadult,5,2.437475925,male,HEW10,8.10.2009,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1898,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,male,HEW10,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1899,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,male,HEW10,8.10.2009,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
1900,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW10,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1901,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,8.10.2009,0,0,1,0,0,0,0,1,0,1,0,0,0,NA,,
1902,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW10,8.10.2009,0,0,0,1,0,0,0,1,0,1,0,0,0,NA,,
1903,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
1905,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,8.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
1907,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,subadult,7,5.334614259,male,HEW10,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1966,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
1967,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1968,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1969,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1970,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,female,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1971,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,female,HEW11,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
1973,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,,
1974,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW11,8.10.2009,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1975,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1977,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW11,8.10.2009,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,,
1978,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1979,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW11,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
1981,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW11,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
