STATION,STATION_NAME,DATE,HPCP
COOP:427064,PROVO BYU UT US,19800901 01:00,0.00
COOP:427064,PROVO BYU UT US,19800911 14:00,0.05
COOP:427064,PROVO BYU UT US,19800919 20:00,0.05
COOP:427064,PROVO BYU UT US,19801001 01:00,0.00
COOP:427064,PROVO BYU UT US,19801012 20:00,0.18
COOP:427064,PROVO BYU UT US,19801012 21:00,0.06
COOP:427064,PROVO BYU UT US,19801012 22:00,0.02
COOP:427064,PROVO BYU UT US,19801012 23:00,0.02
COOP:427064,PROVO BYU UT US,19801013 01:00,0.01
COOP:427064,PROVO BYU UT US,19801013 02:00,0.02
COOP:427064,PROVO BYU UT US,19801013 18:00,0.08
COOP:427064,PROVO BYU UT US,19801013 20:00,0.03
COOP:427064,PROVO BYU UT US,19801014 15:00,0.03
COOP:427064,PROVO BYU UT US,19801014 18:00,0.04
COOP:427064,PROVO BYU UT US,19801014 20:00,0.04
COOP:427064,PROVO BYU UT US,19801014 21:00,0.01
COOP:427064,PROVO BYU UT US,19801015 00:00,0.01
COOP:427064,PROVO BYU UT US,19801015 01:00,0.03
COOP:427064,PROVO BYU UT US,19801015 02:00,0.03
COOP:427064,PROVO BYU UT US,19801015 03:00,0.04
COOP:427064,PROVO BYU UT US,19801015 04:00,0.04
COOP:427064,PROVO BYU UT US,19801015 05:00,0.05
COOP:427064,PROVO BYU UT US,19801015 06:00,0.07
COOP:427064,PROVO BYU UT US,19801015 08:00,0.03
COOP:427064,PROVO BYU UT US,19801015 09:00,0.03
COOP:427064,PROVO BYU UT US,19801015 10:00,0.03
COOP:427064,PROVO BYU UT US,19801015 11:00,0.05
COOP:427064,PROVO BYU UT US,19801015 12:00,0.06
COOP:427064,PROVO BYU UT US,19801015 13:00,0.04
COOP:427064,PROVO BYU UT US,19801015 14:00,0.04
COOP:427064,PROVO BYU UT US,19801015 15:00,0.02
COOP:427064,PROVO BYU UT US,19801015 16:00,0.03
COOP:427064,PROVO BYU UT US,19801015 18:00,0.01
COOP:427064,PROVO BYU UT US,19801015 20:00,0.02
COOP:427064,PROVO BYU UT US,19801015 21:00,0.02
COOP:427064,PROVO BYU UT US,19801015 22:00,0.02
COOP:427064,PROVO BYU UT US,19801015 23:00,0.02
COOP:427064,PROVO BYU UT US,19801016 00:00,0.01
COOP:427064,PROVO BYU UT US,19801016 01:00,0.05
COOP:427064,PROVO BYU UT US,19801016 02:00,0.07
COOP:427064,PROVO BYU UT US,19801016 03:00,0.06
COOP:427064,PROVO BYU UT US,19801016 04:00,0.07
COOP:427064,PROVO BYU UT US,19801016 05:00,0.07
COOP:427064,PROVO BYU UT US,19801016 06:00,0.03
COOP:427064,PROVO BYU UT US,19801016 08:00,0.04
COOP:427064,PROVO BYU UT US,19801016 09:00,0.07
COOP:427064,PROVO BYU UT US,19801016 10:00,0.07
COOP:427064,PROVO BYU UT US,19801016 11:00,0.09
COOP:427064,PROVO BYU UT US,19801016 12:00,0.10
COOP:427064,PROVO BYU UT US,19801016 13:00,0.02
COOP:427064,PROVO BYU UT US,19801016 14:00,0.08
COOP:427064,PROVO BYU UT US,19801016 15:00,0.06
COOP:427064,PROVO BYU UT US,19801016 16:00,0.01
COOP:427064,PROVO BYU UT US,19801016 17:00,0.02
COOP:427064,PROVO BYU UT US,19801016 22:00,0.01
COOP:427064,PROVO BYU UT US,19801016 23:00,0.01
COOP:427064,PROVO BYU UT US,19801017 00:00,0.01
COOP:427064,PROVO BYU UT US,19801017 01:00,0.01
COOP:427064,PROVO BYU UT US,19801017 02:00,0.01
COOP:427064,PROVO BYU UT US,19801026 11:00,0.01
COOP:427064,PROVO BYU UT US,19801026 12:00,0.03
COOP:427064,PROVO BYU UT US,19801026 13:00,0.04
COOP:427064,PROVO BYU UT US,19801026 14:00,0.01
COOP:427064,PROVO BYU UT US,19801026 15:00,0.01
COOP:427064,PROVO BYU UT US,19801026 16:00,0.01
COOP:427064,PROVO BYU UT US,19801101 01:00,0.00
COOP:427064,PROVO BYU UT US,19801112 01:00,0.02
COOP:427064,PROVO BYU UT US,19801112 02:00,0.03
COOP:427064,PROVO BYU UT US,19801112 03:00,0.02
COOP:427064,PROVO BYU UT US,19801112 06:00,0.03
COOP:427064,PROVO BYU UT US,19801112 07:00,0.02
COOP:427064,PROVO BYU UT US,19801112 08:00,0.01
COOP:427064,PROVO BYU UT US,19801112 09:00,0.05
COOP:427064,PROVO BYU UT US,19801112 10:00,0.04
COOP:427064,PROVO BYU UT US,19801112 11:00,0.10
COOP:427064,PROVO BYU UT US,19801112 12:00,0.10
COOP:427064,PROVO BYU UT US,19801112 13:00,0.12
COOP:427064,PROVO BYU UT US,19801112 14:00,0.08
COOP:427064,PROVO BYU UT US,19801112 15:00,0.04
COOP:427064,PROVO BYU UT US,19801112 16:00,0.02
