Family,Species_number,Species_name,English_name,Clutch_size,Egg_mass,Mating_System,mass,wing,tarsus,bill,tail,Gender
1,1,Struthio camelus,Ostrich,NA,1500,4,115000,NA,NA,NA,NA,Male
3,7,Dromaius novaehollandiae,Emu,8.98,581.2,1,32700,200,426,59.1,NA,Male
4,8,Apteryx australis,Brown Kiwi,2,443,2,2208,NA,69.9,98.2,NA,Male
4,9,Apteryx owenii,Little Spotted Kiwi,1,285,2,1135,NA,74.1,72,NA,Male
4,10,Apteryx haastii,Great Spotted Kiwi,1,425,2,2610,NA,84.9,96,NA,Male
5,14,Tinamus major,Great Tinamou,NA,61,1,1059,NA,NA,NA,NA,Male
5,21,Crypturellus soui,Little Tinamou,NA,20,NA,198,NA,NA,NA,NA,Male
5,28,Crypturellus boucardi,Slaty-breasted Tinamou,NA,NA,NA,418,NA,NA,NA,NA,Male
5,45,Nothoprocta cinerascens,Brushland Tinamou,NA,34,1,475,NA,NA,NA,NA,Male
6,58,Ortalis vetula,Plain Chachalaca,2.88,55,2,584,210,59.3,23.3,233.8,Male
6,68,Ortalis motmot,Little Chachalaca,NA,63,2,423,NA,NA,NA,NA,Male
6,92,Penelopina nigra,Highland Guan,NA,NA,4,NA,NA,NA,NA,NA,Male
6,101,Crax rubra,Great Curassow,NA,218,2,4200,NA,NA,NA,NA,Male
7,108,Alectura lathami,Australian Brush-turkey,14.78,190,4,2450,320.7,123.3,39.3,270.2,Male
7,118,Megapodius reinwardt,Orange-footed Scrubfowl,5.5,129,2,1098,269,76.1,NA,108,Male
7,126,Leipoa ocellata,Malleefowl,18.6,175,2,2040,337.88,74.8,27.6,NA,Male
8,128,Ammoperdix griseogularis,See-see Partridge,10,12.3,NA,205,136,34.4,11.9,55.5,Male
8,129,Ammoperdix heyi,Sand Partridge,10,13.8,NA,NA,131,33.9,12.3,92.3,Male
8,131,Tetraogallus caspius,Caspian Snowcock,7.5,75,NA,2684.5,303,67,NA,188,Male
8,137,Alectoris graeca,Rock Partridge,11,19.7,2,700,171,46.9,15.2,NA,Male
