"Species","Light","Nitrogen","Humidity","Temperature","GrowthRate"
"P.ostreotus",0,0,"Low",20,23.924
"P.ostreotus",10,0,"Low",20,34.132
"P.ostreotus",20,0,"Low",20,134.782
"P.ostreotus",0,5,"Low",20,44.516
"P.ostreotus",10,5,"Low",20,44.252
"P.ostreotus",20,5,"Low",20,81.08
"P.ostreotus",0,10,"Low",20,31.844
"P.ostreotus",10,10,"Low",20,53.624
"P.ostreotus",20,10,"Low",20,167.628
"P.ostreotus",0,20,"Low",20,109.416
"P.ostreotus",10,20,"Low",20,93.422
"P.ostreotus",20,20,"Low",20,138.104
"P.ostreotus",0,25,"Low",20,117.028
"P.ostreotus",10,25,"Low",20,122.968
"P.ostreotus",20,25,"Low",20,197.064
"P.ostreotus",0,30,"Low",20,40.556
"P.ostreotus",10,30,"Low",20,59.124
"P.ostreotus",20,30,"Low",20,212.002
"P.ostreotus",0,35,"Low",20,56.22
"P.ostreotus",10,35,"Low",20,61.082
"P.ostreotus",20,35,"Low",20,110.582
"P.ostreotus",0,40,"Low",20,55.296
"P.ostreotus",10,40,"Low",20,45.682
"P.ostreotus",20,40,"Low",20,106.204
"P.ostreotus",0,45,"Low",20,20.668
"P.ostreotus",10,45,"Low",20,42.954
"P.ostreotus",20,45,"Low",20,70.344
"P.ostreotus",0,0,"High",20,28.665
"P.ostreotus",10,0,"High",20,39.6925
"P.ostreotus",20,0,"High",20,88.945
"P.ostreotus",0,5,"High",20,24.32
"P.ostreotus",10,5,"High",20,44.3675
"P.ostreotus",20,5,"High",20,155.1925
"P.ostreotus",0,10,"High",20,81.19
"P.ostreotus",10,10,"High",20,68.705
"P.ostreotus",20,10,"High",20,191.96
"P.ostreotus",0,20,"High",20,86.085
"P.ostreotus",10,20,"High",20,102.9425
"P.ostreotus",20,20,"High",20,140.3425
"P.ostreotus",0,25,"High",20,126.4
"P.ostreotus",10,25,"High",20,102.4475
"P.ostreotus",20,25,"High",20,161.765
"P.ostreotus",0,30,"High",20,51.655
"P.ostreotus",10,30,"High",20,69.695
"P.ostreotus",20,30,"High",20,130.7725
"P.ostreotus",0,35,"High",20,88.89
"P.ostreotus",10,35,"High",20,70.9325
"P.ostreotus",20,35,"High",20,126.0975
"P.ostreotus",0,40,"High",20,26.3
"P.ostreotus",10,40,"High",20,60.18
"P.ostreotus",20,40,"High",20,121.285
