x,y,z
55.3846,97.1795,A
51.5385,96.0256,A
46.1538,94.4872,A
42.8205,91.4103,A
40.7692,88.3333,A
38.7179,84.8718,A
35.641,79.8718,A
33.0769,77.5641,A
28.9744,74.4872,A
26.1538,71.4103,A
23.0769,66.4103,A
22.3077,61.7949,A
22.3077,57.1795,A
23.3333,52.9487,A
25.8974,51.0256,A
29.4872,51.0256,A
32.8205,51.0256,A
35.3846,51.4103,A
40.2564,51.4103,A
44.1026,52.9487,A
46.6667,54.1026,A
50,55.2564,A
53.0769,55.641,A
56.6667,56.0256,A
59.2308,57.9487,A
61.2821,62.1795,A
61.5385,66.4103,A
61.7949,69.1026,A
57.4359,55.2564,A
54.8718,49.8718,A
52.5641,46.0256,A
48.2051,38.3333,A
49.4872,42.1795,A
51.0256,44.1026,A
45.3846,36.4103,A
42.8205,32.5641,A
38.7179,31.4103,A
35.1282,30.2564,A
32.5641,32.1795,A
30,36.7949,A
33.5897,41.4103,A
36.6667,45.641,A
38.2051,49.1026,A
29.7436,36.0256,A
29.7436,32.1795,A
30,29.1026,A
32.0513,26.7949,A
35.8974,25.2564,A
41.0256,25.2564,A
44.1026,25.641,A
47.1795,28.718,A
49.4872,31.4103,A
51.5385,34.8718,A
53.5897,37.5641,A
55.1282,40.641,A
56.6667,42.1795,A
59.2308,44.4872,A
62.3077,46.0256,A
64.8718,46.7949,A
67.9487,47.9487,A
70.5128,53.718,A
71.5385,60.641,A
71.5385,64.4872,A
69.4872,69.4872,A
46.9231,79.8718,A
48.2051,84.1026,B
50,85.2564,B
53.0769,85.2564,B
55.3846,86.0256,B
56.6667,86.0256,B
56.1538,82.9487,B
53.8462,80.641,B
51.2821,78.718,B
50,78.718,B
47.9487,77.5641,B
29.7436,59.8718,B
29.7436,62.1795,B
31.2821,62.5641,B
57.9487,99.4872,B
61.7949,99.1026,B
64.8718,97.5641,B
68.4615,94.1026,B
70.7692,91.0256,B
72.0513,86.4103,B
73.8462,83.3333,B
75.1282,79.1026,B
76.6667,75.2564,B
77.6923,71.4103,B
79.7436,66.7949,B
81.7949,60.2564,B
83.3333,55.2564,B
85.1282,51.4103,B
86.4103,47.5641,B
87.9487,46.0256,B
89.4872,42.5641,B
93.3333,39.8718,B
95.3846,36.7949,B
98.2051,33.718,B
56.6667,40.641,B
59.2308,38.3333,B
60.7692,33.718,B
63.0769,29.1026,B
64.1026,25.2564,B
64.359,24.1026,B
74.359,22.9487,B
71.2821,22.9487,B
67.9487,22.1795,B
65.8974,20.2564,B
63.0769,19.1026,B
61.2821,19.1026,B
58.7179,18.3333,B
55.1282,18.3333,B
52.3077,18.3333,B
49.7436,17.5641,B
47.4359,16.0256,B
44.8718,13.718,B
48.7179,14.8718,B
51.2821,14.8718,B
54.1026,14.8718,B
56.1538,14.1026,B
52.0513,12.5641,B
48.7179,11.0256,B
47.1795,9.8718,B
46.1538,6.0256,B
50.5128,9.4872,B
53.8462,10.2564,B
57.4359,10.2564,B
60,10.641,B
64.1026,10.641,B
66.9231,10.641,B
71.2821,10.641,B
74.359,10.641,B
78.2051,10.641,B
67.9487,8.718,B
68.4615,5.2564,B
68.2051,2.9487,B
37.6923,25.7692,B
39.4872,25.3846,B
91.2821,41.5385,B
50,95.7692,B
47.9487,95,B
44.1026,92.6923,B
