Colony,Distance,Mass,Headwidth,Headwidth (mm),Size class
1.000,1.000,109.000,45.000,1.895,>43
1.000,1.000,120.000,43.000,1.811,40-43
1.000,1.000,94.000,42.000,1.768,40-43
1.000,1.000,61.000,33.000,1.389,30-34
1.000,1.000,72.000,41.000,1.726,40-43
1.000,1.000,134.000,46.000,1.937,>43
1.000,1.000,94.000,43.000,1.811,40-43
1.000,1.000,113.000,42.000,1.768,40-43
1.000,1.000,111.000,42.000,1.768,40-43
1.000,1.000,106.000,43.000,1.811,40-43
1.000,1.000,107.000,46.000,1.937,>43
1.000,1.000,96.000,42.000,1.768,40-43
1.000,1.000,53.000,33.000,1.389,30-34
1.000,1.000,121.000,44.000,1.853,>43
1.000,1.000,85.000,44.000,1.853,>43
1.000,1.000,115.000,45.000,1.895,>43
1.000,1.000,109.000,46.000,1.937,>43
1.000,1.000,105.000,39.000,1.642,35-39
1.000,1.000,93.000,39.000,1.642,35-39
1.000,1.000,103.000,42.000,1.768,40-43
1.000,1.000,110.000,44.000,1.853,>43
1.000,1.000,94.000,40.000,1.684,40-43
1.000,4.000,91.000,42.000,1.768,40-43
1.000,4.000,161.000,46.000,1.937,>43
1.000,4.000,44.000,28.000,1.179,<30
1.000,4.000,87.000,40.000,1.684,40-43
1.000,4.000,107.000,46.000,1.937,>43
1.000,4.000,107.000,41.000,1.726,40-43
1.000,4.000,86.000,40.000,1.684,40-43
1.000,4.000,91.000,38.000,1.600,35-39
1.000,4.000,156.000,43.000,1.811,40-43
1.000,4.000,95.000,43.000,1.811,40-43
1.000,4.000,95.000,42.000,1.768,40-43
1.000,4.000,98.000,42.000,1.768,40-43
1.000,4.000,72.000,37.000,1.558,35-39
1.000,4.000,76.000,39.000,1.642,35-39
1.000,4.000,154.000,43.000,1.811,40-43
1.000,4.000,34.000,28.000,1.179,<30
1.000,4.000,125.000,47.000,1.979,>43
1.000,4.000,51.000,32.000,1.347,30-34
1.000,4.000,83.000,39.000,1.642,35-39
1.000,4.000,36.000,29.000,1.221,<30
1.000,4.000,105.000,42.000,1.768,40-43
1.000,4.000,63.000,36.000,1.516,35-39
1.000,4.000,49.000,33.000,1.389,30-34
1.000,4.000,91.000,42.000,1.768,40-43
1.000,4.000,104.000,43.000,1.811,40-43
1.000,4.000,93.000,45.000,1.895,>43
1.000,4.000,84.000,43.000,1.811,40-43
1.000,4.000,95.000,43.000,1.811,40-43
1.000,4.000,80.000,38.000,1.600,35-39
1.000,4.000,74.000,39.000,1.642,35-39
1.000,4.000,96.000,43.000,1.811,40-43
1.000,4.000,149.000,44.000,1.853,>43
1.000,4.000,107.000,44.000,1.853,>43
1.000,4.000,98.000,42.000,1.768,40-43
1.000,4.000,110.000,46.000,1.937,>43
1.000,7.000,115.000,45.000,1.895,>43
1.000,7.000,107.000,41.000,1.726,40-43
1.000,7.000,105.000,42.000,1.768,40-43
1.000,7.000,96.000,43.000,1.811,40-43
1.000,7.000,70.000,37.000,1.558,35-39
1.000,7.000,96.000,42.000,1.768,40-43
1.000,7.000,127.000,43.000,1.811,40-43
1.000,7.000,131.000,45.000,1.895,>43
1.000,7.000,104.000,40.000,1.684,40-43
1.000,7.000,126.000,46.000,1.937,>43
1.000,7.000,83.000,42.000,1.768,40-43
1.000,7.000,108.000,43.000,1.811,40-43
1.000,7.000,99.000,42.000,1.768,40-43
1.000,7.000,92.000,42.000,1.768,40-43
1.000,7.000,103.000,47.000,1.979,>43
1.000,7.000,104.000,42.000,1.768,40-43
1.000,7.000,107.000,42.000,1.768,40-43
1.000,7.000,120.000,45.000,1.895,>43
1.000,7.000,112.000,43.000,1.811,40-43
1.000,7.000,97.000,41.000,1.726,40-43
1.000,7.000,94.000,42.000,1.768,40-43
1.000,7.000,92.000,40.000,1.684,40-43
1.000,10.000,123.000,44.000,1.853,>43
1.000,10.000,72.000,33.000,1.389,30-34
1.000,10.000,92.000,40.000,1.684,40-43
1.000,10.000,75.000,38.000,1.600,35-39
1.000,10.000,110.000,46.000,1.937,>43
1.000,10.000,97.000,43.000,1.811,40-43
1.000,10.000,93.000,41.000,1.726,40-43
