PlotCode	Lat	Long	PlotArea	No.Ind.	No.Species	No.Genera	Multiple.census	Plot.team	Network
AGJ-01	-11.89	-71.36	2	1637	186	120	1	John Terborgh	RAINFOR
AGP-01	-3.72	-70.31	1	826	291	143	1	Oliver Phillips; Agustin Rudas; Alvaro Cogollo; Esteban Alvarez; Adriana Prieto; Jon Lloyd	RAINFOR 
AGP-02	-3.72	-70.3	1	877	292	149	1	Oliver Phillips; Agustin Rudas; Alvaro Cogollo; Esteban Alvarez; Adriana Prieto; Jon Lloyd	RAINFOR 
ALF-01	-9.6	-55.94	1	569	143	91	1	Ted Feldpausch; Beatriz Marimon; Ben Hur Marimon; Jon Lloyd	RAINFOR
ALF-02	-9.58	-55.92	1	584	108	77	1	Ted Feldpausch; Beatriz Marimon; Ben Hur Marimon; Jon Lloyd	RAINFOR
ALM-01	-11.8	-71.47	2	1754	329	180	1	John Terborgh; Roel Brienen; Nigel Pitman; Fernando Cornejo	RAINFOR 
ALP-01	-3.95	-73.43	1	752	323	152	1	Abel Monteagudo; Tim Baker; Oliver Phillips; Roel Brienen; Yadvinder Malhi; Rodolfo Vasquez	RAINFOR
ALP-02	-3.95	-73.44	1	792	333	162	1	Abel Monteagudo;Tim Baker; Oliver Phillips ;Roel Brienen	RAINFOR
ALP-05	-3.96	-73.44	0.1	65	50	39	0	Oliver Phillips	RAINFOR
ALP-06	-3.95	-73.44	0.1	64	56	44	0	Oliver Phillips	RAINFOR
ALP-10	-3.95	-73.41	0.1	93	73	59	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-16	-3.94	-73.43	0.1	86	66	55	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-17	-3.94	-73.43	0.1	106	46	42	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-18	-3.95	-73.43	0.1	75	42	37	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-19	-3.96	-73.44	0.1	94	65	55	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-20	-3.96	-73.43	0.1	63	48	36	0	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-23	-3.95	-73.42	0.1	63	38	34	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
ALP-24	-3.96	-73.43	0.1	44	27	25	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
ALP-25	-3.95	-73.44	0.1	46	31	24	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
ALP-26	-3.95	-73.41	0.1	65	14	11	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
ALP-30	-3.95	-73.43	1	560	112	71	1	Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo	RAINFOR
ALP-40	-3.94	-73.44	1	1270	43	33	1	Oliver Phillips; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo; Freddy Ramirez Arevalo	RAINFOR
AMA-02	5.58	-77.5	1	472	106	79	1	Esteban Álvarez Dávila; Oliver Phillips	RAINFOR
AMD-01	-1.83	-46.75	1	536	138	86	0	Ima Vieira	RAINFOR
AMD-02	-1.83	-46.75	1	453	121	77	0	Ima Vieira	RAINFOR
AMI-01	-13.58	-68.76	0.1	81	54	49	0	Alwyn Gentry; Percy Núñez Vargas	Gentry
AMI-02	-13.58	-68.76	0.1	85	47	44	0	Alwyn Gentry	Gentry
ANC-01	3.77	-76.87	0.1	96	34	32	0	Alwyn Gentry	Gentry
ARC-10	-0.41	-72.33	0.1	89	42	37	0	Alwyn Gentry	Gentry
ARC-11	-0.41	-72.31	0.04	66	16	15	0	Alwyn Gentry	Gentry
BAC-01	7.46	-71.01	0.25	133	44	42	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAC-02	7.46	-71.01	0.25	124	34	32	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAC-03	7.46	-71.01	0.25	91	22	21	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAC-04	7.46	-71.01	0.25	108	29	29	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAC-05	7.47	-71.02	0.25	135	33	32	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAC-06	7.47	-71.02	0.25	87	30	29	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama ; Geertje van der Heijden; Oliver Phillips	RAINFOR
BAR-01	-11.9	-71.42	1	816	209	124	1	Abel Monteagudo; John Terborgh; Oliver Phillips; Percy Núñez Vargas	TEAM/RAINFOR
BBS-01	4.93	-55.22	1	635	123	91	0	Hans ter Steege	ATDN
BBS-02	4.93	-55.19	1	569	113	86	0	Hans ter Steege	ATDN
BBS-03	4.95	-55.19	1	630	104	82	0	Hans ter Steege	ATDN
BBS-04	4.97	-55.18	1	465	98	81	0	Hans ter Steege	ATDN
BBS-05	4.99	-55.2	1	515	112	92	0	Hans ter Steege	ATDN
BBS-06	4.94	-55.18	1	544	106	83	0	Hans ter Steege	ATDN
BBS-07	4.92	-55.13	1	458	104	87	0	Hans ter Steege	ATDN
BBS-08	4.93	-55.14	1	555	97	77	0	Hans ter Steege	ATDN
BBS-09	4.95	-55.19	1	622	91	75	0	Hans ter Steege	ATDN
BCA-01	3.97	-77.07	0.1	94	65	54	0	Alwyn Gentry	Gentry
BCU-01	11.14	-73.47	0.1	63	26	26	0	Alwyn Gentry	Gentry
BDF-01	-2.34	-60.1	2	1689	383	155	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR
BDF-03	-2.42	-59.85	1	793	298	137	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-04	-2.43	-59.85	1	934	316	140	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-05	-2.43	-59.85	1	848	296	111	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-06	-2.41	-59.86	3	2549	487	181	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
