GEOID,NAME,estimate_income,estimate_rent,moe_income,moe_rent
01,Alabama,24476,747,136,3
02,Alaska,32940,1200,508,13
04,Arizona,27517,972,148,4
05,Arkansas,23789,709,165,5
06,California,29454,1358,109,3
08,Colorado,32401,1125,109,5
09,Connecticut,35326,1123,195,5
10,Delaware,31560,1076,247,10
11,District of Columbia,43198,1424,681,17
12,Florida,25952,1077,70,3
13,Georgia,27024,927,106,3
15,Hawaii,32453,1507,218,18
16,Idaho,25298,792,208,7
17,Illinois,30684,952,83,3
18,Indiana,27247,782,117,3
19,Iowa,30002,740,143,4
20,Kansas,29126,801,208,5
21,Kentucky,24702,713,159,4
22,Louisiana,25086,825,155,4
23,Maine,26841,808,187,7
24,Maryland,37147,1311,152,5
25,Massachusetts,34498,1173,199,5
26,Michigan,26987,824,82,3
27,Minnesota,32734,906,189,4
28,Mississippi,22766,740,194,5
29,Missouri,26999,784,113,4
30,Montana,26249,751,206,9
31,Nebraska,30020,773,146,4
32,Nevada,29019,1017,213,6
33,New Hampshire,33172,1052,387,9
34,New Jersey,35075,1249,148,4
35,New Mexico,24457,809,214,6
36,New York,31057,1194,69,3
37,North Carolina,26482,844,111,3
38,North Dakota,32336,775,245,9
39,Ohio,27435,764,94,2
40,Oklahoma,26207,766,101,3
41,Oregon,27389,988,146,4
42,Pennsylvania,28923,885,119,3
44,Rhode Island,30210,957,259,6
45,South Carolina,25454,836,123,4
46,South Dakota,28821,696,276,7
47,Tennessee,25453,808,102,4
48,Texas,28063,952,110,2
49,Utah,27928,948,239,6
50,Vermont,29351,945,361,11
51,Virginia,32545,1166,202,5
53,Washington,32318,1120,113,4
54,West Virginia,23707,681,203,6
55,Wisconsin,29868,813,135,3
56,Wyoming,30854,828,342,11
72,Puerto Rico,NA,464,NA,6
