Year_Collected	Extract.Code	Date_Collected	DNA_Concentration_Katy	DNA_Concentration_Ben	Lab
2000	00_A_1	2000-04-27	0.1566	1.2399795979	Upstairs
2000	00_B_1	2000-05-08	0.03555	0.2039991142	Upstairs
2000	00_B_2	2000-05-22	0.1251	0.2083205291	Upstairs
2000	00_C_1	2000-06-09	0.30735	1.1835294609	Upstairs
2000	00_C_2	2000-06-26	0.2538	0.3862926744	Upstairs
2000	00_D_1	2000-07-05	0.00765	0.1464902242	Upstairs
2000	00_D_2	2000-07-28	0.2214	0.3204217407	Upstairs
2000	00_E_1	2000-08-07	0.38552	1.2084780835	Upstairs
2000	00_E_2	2000-08-14	0.02025	0.0311355005	Upstairs
2000	00_F_1	2000-09-18	0.0801	0.3420017177	Upstairs
2000	00_F_2	2000-09-27	0.18675	0.671007324	Upstairs
2000	00_G_1	2000-10-10	0.18854	0.2590664418	Upstairs
2000	00_G_2	2000-10-23	0.09855	0.5492848942	Upstairs
2000	00_H_1	2000-11-03	0.2115	0.5625849525	Upstairs
2000	00_H_2	2000-11-24	0.1179	0.6118951461	Upstairs
2000	00_I_1	2000-12-05	0.01575	0.149374482	Upstairs
2000	00_I_2	2000-12-20	0.06554	0.1613988114	Upstairs
2001	01_A_1	2001-01-04	0.05535	0.1321912869	Upstairs
2001	01_A_2	2001-01-29	0.1377	1.0259610881	Upstairs
2001	01_B_1	2001-02-08	0.11295	0.4866033079	Upstairs
2001	01_B_2	2001-02-20	0.01215	0.3722029338	Upstairs
2001	01_C_1	2001-03-12	0.1341	1.0853759928	Upstairs
2001	01_C_2	2001-03-26	0.04455	0.1089228559	Upstairs
2001	01_D_1	2001-04-23	0.04365	0.2097431058	Upstairs
2001	01_D_2	2001-04-30	0.0396	0.2393559971	Upstairs
2001	01_E_1	2001-05-07	0.0891	0.3097172986	Upstairs
2001	01_E_2	2001-05-21	0.02115	0.4804499919	Upstairs
2001	01_F_1	2001-06-05	0.1296	0.73606578	Upstairs
2001	01_F_2	2001-06-25	0.13275	0.4667290471	Upstairs
2001	01_G_1	2001-07-13	0.03825	0.8709144793	Upstairs
2001	01_G_2	2001-07-24	0.13275	0.5165206492	Upstairs
2001	01_H_1	2001-08-13	0.09855	0.131721855	Upstairs
2001	01_H_2	2001-08-28	0.03825	0.8467994435	Upstairs
2001	01_I_1	2001-09-10	0.1053	0.7674731092	Upstairs
2001	01_I_2	2001-09-18	0.0009	0.442048382	Upstairs
2001	01_J_1	2001-10-19	0.01845	0.2075714522	Upstairs
2001	01_J_2	2001-10-31	0.11655	1.799365705	Upstairs
2001	01_K_1	2001-11-09	0.1296	0.5089058471	Upstairs
2001	01_K_2	2001-11-21	0.0522	0.1971431398	Upstairs
2002	02_A_1	2002-01-14	0.1548	0.4653542445	Upstairs
2002	02_A_2	2002-01-30	0.22635	0.5250706147	Upstairs
2002	02_B_1	2002-02-19	0.28125	0.7295233432	Upstairs
2002	02_B_2	2002-02-28	0.10035	0.2741642936	Upstairs
2002	02_C_1	2002-03-18	0.1026	0.2643362196	Upstairs
2002	02_C_2	2002-03-25	0.07335	0.8774917075	Upstairs
2002	02_D_1	2002-04-08	0.12015	0.9965050198	Upstairs
2002	02_D_2	2002-04-22	0.10395	0.9218943468	Upstairs
2002	02_E_1	2002-05-08	0.15705	0.2091252679	Upstairs
2002	02_E_2	2002-05-20	0.04905	0.4253995712	Upstairs
2002	02_F_1	2002-06-06	0.26235	0.5266272219	Upstairs
2002	02_F_2	2002-06-25	0.00585	0.2030764265	Upstairs
2002	02_G_1	2002-07-01	0.08955	0.570897439	Upstairs
2002	02_G_2	2002-07-08	0.1611	0.2545800348	Upstairs
2002	02_H_1	2002-08-14	0.01305	0.6721413283	Upstairs
2002	02_H_2	2002-08-23	0.0819	0.2390766186	Upstairs
