"FedID","UnivName","State","Tier","AssistProf","AssocProf","FullProf"
1002,"Alabama Agri.&Mech. Univ.","AL","II",31000,36900,44200
1004,"University of Montevallo","AL","II",31000,38500,44100
1008,"Athens State College","AL","III",35100,39400,46600
1009,"Auburn University- Main","AL","I",37400,43700,58000
1012,"Birmingham Southern College","AL","III",32200,37900,49800
1016,"Univ. of North Alabama","AL","III",35900,41200,50600
1019,"Huntingdon College","AL","III",28700,30300,33900
1020,"Jacksonville State Univ.","AL","II",33800,38900,46100
1024,"Livingston University","AL","III",25800,30400,36000
1029,"University of Mobile","AL","III",27700,32100,35400
1033,"Oakwood College","AL","III",28300,29000,30100
1036,"Samford University","AL","II",36300,42500,56500
1041,"Spring Hill College","AL","III",31100,35200,43100
1044,"Stillman College","AL","III",25100,28800,32100
1047,"Troy State University-Main","AL","II",32200,38500,46200
1050,"Tuskegee University","AL","II",30600,35200,41000
1051,"University of Alabama","AL","I",38200,44700,60500
1052,"Univ. Alabama at Birmingham","AL","I",36600,44500,63300
1055,"Univ. Alabama in Huntsville","AL","II",37500,44300,63600
1057,"University of South Alabama","AL","II",37000,42600,54200
1061,"Alaska Pacific University","AK","III",36200,38200,45400
1063,"Univ.Alaska-Fairbanks","AK","I",43200,56000,68600
1065,"Univ.Alaska-Southeast","AK","II",32900,49400,53300
1074,"Grand Canyon University","AZ","III",27400,32800,35800
1081,"Arizona State University","AZ","I",39900,44900,60300
1082,"Northern Arizona University","AZ","I",35900,42200,51100
1083,"University of Arizona","AZ","I",41100,46200,64800
1085,"Univ. Ark. at Monticello","AR","III",33000,36300,45300
1086,"Univ. Arkansas at Pine Bluff","AR","III",33200,36600,40600
1088,"Arkansas College (Lyon College)","AR","III",33000,NA,49900
1089,"Arkansas Tech University","AR","III",33700,38100,43900
1090,"Arkansas State Univ.-Main","AR","II",34200,43300,52000
1092,"Univ. of Central Arkansas","AR","II",33900,41600,52100
1094,"University of the Ozarks","AR","III",27400,28000,30900
1098,"Henderson State University","AR","III",34100,37500,44700
1099,"Hendrix College","AR","III",36200,39900,48500
1100,"John Brown University","AR","III",30400,33800,37200
1101,"Univ. Ark. at Little Rock","AR","II",37200,41600,53600
1102,"Ouachita Baptist University","AR","III",28900,35500,42200
1106,"Williams Baptist College","AR","III",26400,NA,NA
1107,"Southern Ark. Univ.-Main","AR","II",32100,38900,46100
1108,"Univ. Arkansas-Fayetteville","AR","I",37900,43600,56300
1117,"Azusa Pacific University","CA","II",31800,37500,43000
1122,"Biola University","CA","II",30300,36900,45500
1131,"California Inst. of Tech.","CA","I",57600,73300,97000
1133,"California Lutheran Univ.","CA","III",33500,39200,47700
1137,"Cal.St.Univ-Fullerton","CA","II",38700,49300,60500
1138,"Cal.St.Univ-Hayward","CA","II",38400,49100,60600
1139,"Cal.St.Univ-Long Beach","CA","II",40100,47400,60000
1141,"Cal.St.Univ-Dominguez Hills","CA","II",39200,47200,60500
1143,"Cal.Poly.St.U-Sn Luis Obispo","CA","II",39400,49600,60700
1144,"Cal.Poly.St.Univ-Pomona","CA","II",40800,49200,61000
1146,"Cal.St.Univ-Chico","CA","II",39500,48200,60400
1147,"Cal.St.Univ-Fresno","CA","II",38200,47600,60300
1149,"Humboldt State University","CA","II",38700,46800,59300
1151,"San Diego State University","CA","II",40300,47900,60200
1155,"San Jose State University","CA","II",40400,48600,59800
1156,"Sonoma State University","CA","II",38000,45900,60200
1164,"Chapman University","CA","II",42000,47000,57800
1170,"Claremont McKenna College","CA","III",41100,51600,71600
1171,"Harvey Mudd College","CA","III",45400,57900,77100
1172,"Pitzer College","CA","III",38100,43900,65200
1173,"Pomona College","CA","III",41700,52500,73000
1174,"Scripps College","CA","III",37200,45800,61100
1179,"College of Notre Dame","CA","III",37400,42100,52400
1183,"Holy Names College","CA","III",27500,39400,48400
1216,"University of La Verne","CA","II",32600,39200,48200
1238,"Mills College","CA","II",40700,46100,59300
1249,"Occidental College","CA","III",38800,46900,62400
1253,"Fresno Pacific College","CA","III",NA,NA,NA
1258,"Pacific Union College","CA","III",31500,33300,36200
1262,"Point Loma Nazarene College","CA","III",35800,39300,50700
1264,"Pepperdine University","CA","II",51100,56100,71500
1302,"Saint Mary's Coll. of Calif.","CA","II",40400,49400,61400
1305,"Stanford University","CA","I",51900,65800,95200
1312,"Univ.of Calif.-Berkeley","CA","I",43300,51300,76400
1313,"Univ.of Calif.-Davis","CA","I",40400,47800,68300
1314,"Univ.of Calif.-Irvine","CA","I",42300,48800,70800
1315,"Univ.of Calif.-Los Angeles","CA","I",42100,49700,74100
1316,"Univ.of Calif.-Riverside","CA","I",39000,46100,67000
1317,"Univ.of Calif.-San Diego","CA","I",40100,48700,72300
1319,"Univ.of Calif.-San Francisco","CA","I",38000,44900,62400
1320,"Univ.of Calif.-Santa Barbara","CA","I",40100,47300,71200
1321,"Univ.of Calif.-Santa Cruz","CA","I",39100,46400,67700
1322,"University of Redlands","CA","II",40600,46800,56600
1325,"University of San Francisco","CA","II",40500,48600,61700
1326,"Santa Clara University","CA","II",48700,55500,76300
1328,"Univ. of Southern California","CA","I",48400,57400,80200
1329,"University of the Pacific","CA","II",37200,42000,54200
1339,"Western Baptist College","OR","III",25200,30800,NA
1341,"Westmont College","CA","III",33900,40800,48900
1342,"Whittier College","CA","II",34700,49900,66600
1343,"Woodbury University","CA","II",36500,37300,NA
1345,"Adams State College","CO","II",32100,35600,43600
1347,"Colorado College","CO","III",39800,48800,61300
1349,"Univ. of Northern Colorado","CO","I",33300,39000,48000
1350,"Colorado State University","CO","I",40300,44700,59800
1353,"Fort Lewis College","CO","III",34200,38500,43900
1358,"Mesa State College","CO","III",29700,35300,42900
1360,"Metro. State Coll.of Denver","CO","III",35100,40600,48000
1363,"Regis University","CO","III",34900,43400,48900
1365,"University Southern Colorado","CO","II",36000,42200,47400
1370,"Univ. of Colorado- Boulder","CO","I",42100,49400,65200
1371,"University of Denver","CO","I",43000,47900,62300
1372,"Western State Coll. of Colo.","CO","III",32400,38100,45200
1374,"Albertus Magnus College","CT","III",NA,34300,39100
1378,"Central Connecticut St.Univ.","CT","II",39700,53400,66600
1379,"Connecticut College","CT","III",36600,46100,61900
1380,"Western Conn. State Univ.","CT","II",47700,51600,65800
1385,"Fairfield University","CT","II",45200,54500,68500
1397,"University of New Haven","CT","II",40100,45000,52400
1402,"Quinnipiac College","CT","II",41200,54000,69700
1403,"Sacred Heart University","CT","III",37400,44400,54600
1406,"Southern Conn. State Univ.","CT","II",38500,51400,64400
1409,"Saint Joseph College","CT","II",36000,45100,54800
1414,"Trinity College","CT","III",39400,50100,70600
1416,"University of Bridgeport","CT","II",36000,43700,50500
1422,"University of Hartford","CT","II",38000,44500,52900
1424,"Wesleyan University","CT","II",42300,50400,73400
1425,"Eastern Connecticut St.Univ.","CT","II",40000,51500,65000
1426,"Yale University","CT","I",44400,52200,92800
1428,"Delaware State University","DE","II",35900,43500,54500
1429,"Goldey Beacom College","DE","III",NA,40500,49200
1431,"University of Delaware","DE","I",42200,53100,72300
1433,"Wesley College","DE","III",33400,37300,44800
1434,"American University","DC","I",41700,52000,74600
1436,"Capitol College","MD","III",NA,34400,NA
1437,"Catholic Univ. of America","DC","I",38500,44900,61100
1443,"Gallaudet University","DC","II",39900,48000,62300
1444,"George Washington University","DC","I",44700,54200,72900
1445,"Georgetown University","DC","I",42700,55200,85700
1448,"Howard University","DC","I",40300,48300,65600
1452,"Mount Vernon College","DC","III",28800,36000,NA
1460,"Trinity College","DC","III",29300,36200,45700
1466,"Barry University","FL","II",35000,42000,48800
1468,"St. Thomas University","FL","II",35100,48200,43800
1479,"Embry-Riddle Aero University","FL","II",31000,36900,45700
1480,"Florida A & M University","FL","II",35900,42600,52400
1481,"Florida Atlantic University","FL","II",39400,42600,58000
1487,"Eckerd College","FL","III",35700,42400,53400
1488,"Florida Southern College","FL","III",33100,36900,44000
1489,"Florida State University","FL","I",37800,39900,56400
1515,"Rollins College","FL","II",32100,42000,54200
1531,"Stetson University","FL","II",37000,43700,62200
1535,"University of Florida","FL","I",39900,43000,61300
