OTU.ID,Or.Ma.D.s,Or.Ma.R.s,Or.Ma.D.le,Or.Ma.R.le,Or.Ma.D.e,Or.Ma.R.e,Or.Ma.D.re,Or.Ma.R.re,Or.Ma.D.rz,Or.Ma.R.rz,Or.Ma.D.rzs,Or.Ma.R.rzs,Or.Sf.D.s,Or.Sf.R.s,Or.Sf.D.le,Or.Sf.R.le,Or.Sf.D.e,Or.Sf.R.e,Or.Sf.D.re,Or.Sf.R.re,Or.Sf.D.rz,Or.Sf.R.rz,Or.Sf.D.rzs,Or.Sf.R.rzs,Mg.Ma.D.s,Mg.Ma.R.s,Mg.Ma.D.le,Mg.Ma.R.le,Mg.Ma.D.e,Mg.Ma.R.e,Mg.Ma.R.re,Mg.Ma.D.rz,Mg.Ma.R.rz,Mg.Ma.D.rzs,Mg.Ma.R.rzs,Mg.Sf.D.s,Mg.Sf.R.s,Mg.Sf.D.le,Mg.Sf.R.le,Mg.Sf.D.e,Mg.Sf.R.e,Mg.Sf.D.re,Mg.Sf.R.re,Mg.Sf.D.rz,Mg.Sf.R.rz,Mg.Sf.D.rzs,Mg.Sf.R.rzs,Consensus.lineage
OTU_4,3,1,56,94,63,1544,20,64,3412,12388,8,9,8,5,117,22,22,634,445,20,1604,10750,1,70,0,12,7,2,5,49,34,70,76,2,2,0,5,103,78,1460,2798,89,8,390,787,27,146,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Leclercia
OTU_7,26,26,120,5,1370,23,201,21,20534,2479,44,14,1630,41,355,6,242,122,1011,1,8471,34558,71,85,28,25,1,2,58,64,3,22653,272,25,25,59,105,37,1,50,69,18,33,50226,7351,58,141,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus
OTU_8,30,2,28,1,10,20,170,63,12,90,15,7,2,9,1,0,2,1,174,464,81,21,2,19,4,11,0,0,1,9,13,34,1,14,20,24,3,6,0,7,5,23,34,7,9,16,48,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium
OTU_9,240,216,0,0,116,74,1,9,9,21,81,82,28,97,24,4,119,307,72,40,56,4,45,61,80,67,0,0,13,176,1,73,38,154,36,68,86,6,4,86,77,1,0,11,64,40,121,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas
OTU_10,3,2,30,0,5,3,0,6,24418,3494,2,15,20,1,23,2,1,2,41,0,70,75,6,3,3,108,0,2,1,1,1,223,26,0,4,4,10,109,0,0,6,0,0,85,812,3,3,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter
OTU_12,0,0,5953,9,0,1,3,18,0,0,0,12,0,1,124,15,0,1,203,14,0,0,0,1,0,0,3,0,0,3,6,0,1,0,4,0,1,15,4,3,1,50,12,18,9,0,269,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas
OTU_13,20,0,0,6,4,2,4,2,0,4,3,1,0,3,0,0,1,1,21,3,5,1,1,6,4,0,0,1,1,6,0,3,0,5,0,1,1,2,0,0,1,1,1,0,1,0,11,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Promicromonospora
OTU_15,362,258,112,9,62,27,1047,562,48,139,653,228,241,128,59,14,17,26,523,167,559,47,149,559,169,335,3,0,23,133,277,254,232,386,958,377,100,5,2,37,138,243,135,42,444,329,601,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
OTU_16,25,26,0,0,0,1,3,12,1,8,6,2,32,12,0,4,10,1,37,0,135,17,21,25,14,33,2,0,0,2,1,14,3,1,14,18,3,0,1,1,4,0,0,9,36,15,8,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces
OTU_17,98,16,0,0,22,7,9,11,1,9,81,50,112,59,0,1,8,24,12,116,125,13,27,44,15,11,0,1,2,16,0,29,6,60,27,21,25,2,0,6,46,10,3,8,30,55,131,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia
