Year,AgeRange,Value,Gender
2000,00-14,0,Male
2000,00-14,2,Male
2000,00-14,52,Male
2000,00-14,0,Male
2000,00-14,2,Male
2000,00-14,2,Male
2000,00-14,0,Male
2000,00-14,186,Male
2000,00-14,97,Male
2000,15-24,0,Male
2000,15-24,4,Male
2000,15-24,228,Male
2000,15-24,0,Male
2000,15-24,19,Male
2000,15-24,152,Male
2000,15-24,0,Male
2000,15-24,999,Male
2000,15-24,278,Male
2000,25-34,1,Male
2000,25-34,4,Male
2000,25-34,183,Male
2000,25-34,0,Male
2000,25-34,21,Male
2000,25-34,130,Male
2000,25-34,1,Male
2000,25-34,1003,Male
2000,25-34,594,Male
2000,35-44,0,Male
2000,35-44,5,Male
2000,35-44,149,Male
2000,35-44,0,Male
2000,35-44,15,Male
2000,35-44,131,Male
2000,35-44,0,Male
2000,35-44,508,Male
2000,35-44,221,Male
2000,00-14,0,Female
2000,00-14,3,Female
2000,00-14,73,Female
2000,00-14,0,Female
2000,00-14,3,Female
2000,00-14,3,Female
2000,00-14,0,Female
2000,00-14,260,Female
2000,00-14,136,Female
2000,15-24,0,Female
2000,15-24,6,Female
2000,15-24,319,Female
2000,15-24,0,Female
2000,15-24,27,Female
2000,15-24,213,Female
2000,15-24,0,Female
2000,15-24,1399,Female
2000,15-24,389,Female
2000,25-34,1,Female
2000,25-34,6,Female
2000,25-34,256,Female
2000,25-34,0,Female
2000,25-34,29,Female
2000,25-34,182,Female
2000,25-34,1,Female
2000,25-34,1404,Female
2000,25-34,832,Female
2000,35-44,0,Female
2000,35-44,7,Female
2000,35-44,209,Female
2000,35-44,0,Female
2000,35-44,21,Female
2000,35-44,183,Female
2000,35-44,0,Female
2000,35-44,711,Female
2000,35-44,309,Female
