"","Extract.Number","Year","Extract.Code","Date","DNA_Conc"
"1",1,2000,"00_A_1",2000-04-27,0.348
"2",2,2000,"00_B_1",2000-05-08,0.079
"3",3,2000,"00_B_2",2000-05-22,0.278
"4",4,2000,"00_C_1",2000-06-09,0.683
"5",5,2000,"00_C_2",2000-06-26,0.564
"6",6,2000,"00_D_1",2000-07-05,0.017
"7",7,2000,"00_D_2",2000-07-28,0.492
"8",8,2000,"00_E_1",2000-08-07,0.465
"9",9,2000,"00_E_2",2000-08-14,0.045
"10",10,2000,"00_F_1",2000-09-18,0.178
"11",11,2000,"00_F_2",2000-09-27,0.415
"12",12,2000,"00_G_1",2000-10-10,0.188
"13",13,2000,"00_G_2",2000-10-23,0.219
"14",14,2000,"00_H_1",2000-11-03,0.47
"15",15,2000,"00_H_2",2000-11-24,0.262
"16",16,2000,"00_I_1",2000-12-05,0.035
"17",17,2000,"00_I_2",2000-12-20,0.235
"18",18,2001,"01_A_1",2001-01-04,0.123
"19",19,2001,"01_A_2",2001-01-29,0.306
"20",20,2001,"01_B_1",2001-02-08,0.251
"21",21,2001,"01_B_2",2001-02-20,0.027
"22",22,2001,"01_C_1",2001-03-12,0.298
"23",23,2001,"01_C_2",2001-03-26,0.099
"24",24,2001,"01_D_1",2001-04-23,0.097
"25",25,2001,"01_D_2",2001-04-30,0.088
"26",26,2001,"01_E_1",2001-05-07,0.198
"27",27,2001,"01_E_2",2001-05-21,0.047
"28",28,2001,"01_F_1",2001-06-05,0.288
"29",29,2001,"01_F_2",2001-06-25,0.295
"30",30,2001,"01_G_1",2001-07-13,0.085
"31",31,2001,"01_G_2",2001-07-24,0.295
"32",32,2001,"01_H_1",2001-08-13,0.219
"33",33,2001,"01_H_2",2001-08-28,0.085
"34",34,2001,"01_I_1",2001-09-10,0.234
"35",35,2001,"01_I_2",2001-09-18,0.002
"36",36,2001,"01_J_1",2001-10-19,0.041
"37",37,2001,"01_J_2",2001-10-31,0.259
"38",38,2001,"01_K_1",2001-11-09,0.288
"39",39,2001,"01_K_2",2001-11-21,0.116
"40",40,2002,"02_A_1",2002-01-14,0.344
"41",41,2002,"02_A_2",2002-01-30,0.503
"42",42,2002,"02_B_1",2002-02-19,0.625
"43",43,2002,"02_B_2",2002-02-28,0.223
"44",44,2002,"02_C_1",2002-03-18,0.228
"45",45,2002,"02_C_2",2002-03-25,0.163
"46",46,2002,"02_D_1",2002-04-08,0.267
"47",47,2002,"02_D_2",2002-04-22,0.231
"48",48,2002,"02_E_1",2002-05-08,0.349
"49",49,2002,"02_E_2",2002-05-20,0.109
"50",50,2002,"02_F_1",2002-06-06,0.583
"51",51,2002,"02_F_2",2002-06-25,0.013
"52",52,2002,"02_G_1",2002-07-01,0.199
"53",53,2002,"02_G_2",2002-07-08,0.358
"54",54,2002,"02_H_1",2002-08-14,0.029
"55",55,2002,"02_H_2",2002-08-23,0.182
"56",56,2002,"02_I_1",2002-09-16,0.46
"57",57,2002,"02_I_2",2002-09-27,0.309
"58",58,2002,"02_J_1",2002-10-23,0.119
"59",59,2002,"02_J_2",2002-10-31,0.255
"60",60,2002,"02_K_1",2002-11-01,0.032
"61",61,2002,"02_K_2",2002-11-12,0.365
"62",62,2002,"02_L_1",2002-12-12,0.064
"63",63,2002,"02_L_2",2002-12-23,0.436
"64",64,2003,"03_A_1",2003-01-23,0.09
"65",65,2003,"03_A_2",2003-01-29,0.131
"66",66,2003,"03_B_1",2003-02-18,0.266
"67",67,2003,"03_B_2",2003-02-24,0.439
"68",68,2003,"03_C_1",2003-03-17,0.314
"69",69,2003,"03_C_2",2003-03-24,0.457
"70",70,2003,"03_D_1",2003-04-14,0.031
"71",71,2003,"03_D_2",2003-04-28,0.048
"72",72,2003,"03_E_1",2003-05-12,0.316
"73",73,2003,"03_E_2",2003-05-26,0.189
"74",74,2003,"03_F_1",2003-06-09,0.047
"75",75,2003,"03_F_2",2003-06-30,0.048
"76",76,2003,"03_G_1",2003-07-07,0.037
"77",77,2003,"03_G_2",2003-07-15,0.13
"78",78,2003,"03_H_1",2003-08-06,0.089
