SampleID	Taxa	Threshold-Status	No_of_Reads	Percentage_Abundance	Avg._Score
EP288825_K10_MV1D	Lactobacillus_crispatus_cluster	AT	26762	39.8172945307386	99.5180442418347
EP288825_K10_MV1D	Lactobacillus_jensenii	AT	9715	14.4542641195025	98.7077714873895
EP288825_K10_MV1D	Prevotella_cluster2	AT	8448	12.5691840742725	99.5826941287892
EP288825_K10_MV1D	Prevotella_disiens	AT	3690	5.49009105516872	99.3369647696473
EP288825_K10_MV1D	Prevotella_bivia	AT	2123	3.15866214366482	99.5199717381062
EP288825_K10_MV1D	Streptococcus_anginosus	AT	1847	2.74802118669285	99.6652950730914
EP288825_K10_MV1D	Gardnerella_vaginalis	AT	1543	2.29572100220199	99.7762799740765
EP288825_K10_MV1D	Dialister_propionicifaciens	AT	1011	1.50419567934297	99.1114737883283
EP288825_K10_MV1D	Lactobacillus_gasseri_cluster	AT	873	1.29887520085699	99.2020618556703
EP288825_K10_MV1D	Peptoniphilus_indolicus	AT	754	1.12182348390168	99.1899204244028
EP288825_K10_MV1D	Finegoldia_magna	AT	714	1.06231030173183	99.3275910364143
EP288825_K10_MV1D	"Lachnospiraceae"_OTU33	AT	703	1.04594417663512	99.8024182076817
EP288825_K10_MV1D	Campylobacter_ureolyticus	AT	673	1.00130929000774	99.8243684992572
EP288825_K10_MV1D	Peptoniphilus_lacrimalis	BT	619	0.920966494078438	89.9962843295637
EP288825_K10_MV1D	Dialister_micraerophilus	AT	496	0.737963458906148	99.5294354838711
EP288825_K10_MV1D	Anaerococcus_lactolyticus_cluster	AT	480	0.714158186038207	99.4827083333334
EP288825_K10_MV1D	Prevotella_corporis	AT	398	0.592156162590014	99.5371859296482
EP288825_K10_MV1D	Chryseobacterium_gleum	BT	389	0.578765696601797	87.8449871465294
EP288825_K10_MV1D	Lactobacillus_crispatus_cluster	BT	350	0.520740343986193	91.4491428571428
EP288825_K10_MV1D	Clostridium_methylpentosum	BT	330	0.490983752901268	79.6593939393937
EP288825_K10_MV1D	Peptostreptococcus_anaerobius	AT	325	0.483544605130036	99.8150769230768
EP288825_K10_MV1D	Anaerococcus_tetradius	AT	315	0.468666309587574	99.4165079365079
EP288825_K10_MV1D	Prevotella_cluster2	BT	276	0.410640956971969	92.6202898550725
EP288825_K10_MV1D	Lactobacillus_jensenii	BT	270	0.401713979646492	92.5866666666667
EP288825_K10_MV1D	Atopobium_OTU7	AT	266	0.395762661429507	99.774812030075
EP288825_K10_MV1D	Porphyromonas_uenonis_asaccharolytica	AT	263	0.391299172766768	99.1840304182511
EP288825_K10_MV1D	Corynebacterium_pyruviciproducens_cluster	AT	244	0.363030411236089	99.0790983606556
EP288825_K10_MV1D	Prevotella_disiens	BT	210	0.312444206391716	93.4971428571428
EP288825_K10_MV1D	Atopobium_vaginae	AT	209	0.31095637683747	99.7473684210525
EP288825_K10_MV1D	Streptococcus_anginosus	BT	196	0.291614592632268	93.0295918367348
EP288825_K10_MV1D	Propionimicrobium_lymphophilum	AT	185	0.275248467535559	99.7897297297296
EP288825_K10_MV1D	Clostridiales_OTU22	AT	183	0.272272808427067	99.7415300546447
EP288825_K10_MV1D	Actinobaculum_schaalii	AT	181	0.269297149318574	99.6955801104972
EP288825_K10_MV1D	Peptoniphilus_OTU42	AT	147	0.218710944474201	99.6510204081632
EP288825_K10_MV1D	Prevotella_bivia	BT	147	0.218710944474201	93.9544217687075
EP288825_K10_MV1D	Peptoniphilus_indolicus	BT	99	0.14729512587038	91.5939393939394
EP288825_K10_MV1D	Clostridiales_OTU22	BT	91	0.13539248943641	94.1802197802198
EP288825_K10_MV1D	Prevotella_bergensis	AT	89	0.132416830327918	99.1393258426966
EP288825_K10_MV1D	Porphyromonas_bennonis	AT	75	0.11158721656847	98.0093333333333
EP288825_K10_MV1D	Alloscardovia_omnicolens	AT	71	0.105635898351485	99.649295774648
EP288825_K10_MV1D	Lactobacillus_vaginalis	AT	68	0.101172409688746	98.7676470588235
EP288825_K10_MV1D	Finegoldia_magna	BT	66	0.0981967505802535	91.7621212121212
EP288825_K10_MV1D	Corynebacterium_cluster45	AT	64	0.095221091471761	99.7484375000001
EP288825_K10_MV1D	"Lachnospiraceae"_OTU33	BT	60	0.0892697732547759	93.6916666666667
EP288825_K10_MV1D	Anaerococcus_OTU145	AT	58	0.0862941141462834	98.4586206896552
EP288825_K10_MV1D	Dialister_propionicifaciens	BT	56	0.0833184550377909	90.1125
EP288825_K10_MV1D	Peptoniphilus_harei	AT	50	0.0743914777123133	98.426
EP288825_K10_MV1D	Porphyromonas_somerae	AT	50	0.0743914777123133	99.796
EP288825_K10_MV1D	Actinomyces_turicensis	AT	50	0.0743914777123133	99.204
EP288825_K10_MV1D	Anaerococcus_lactolyticus_cluster	BT	47	0.0699279890495745	92.536170212766
EP288825_K10_MV1D	Actinomycetales_OTU158	AT	45	0.066952329941082	99.7688888888889
EP288825_K10_MV1D	Gardnerella_vaginalis	BT	45	0.066952329941082	91.9533333333333
EP288825_K10_MV1D	Anaerococcus_hydrogenalis	AT	45	0.066952329941082	99.4688888888889
EP288825_K10_MV1D	Actinobaculum_massiliense	AT	40	0.0595131821698506	99.735
EP288825_K10_MV1D	Varibaculum_cambriense	BT	35	0.0520740343986193	95.6942857142857
EP288825_K10_MV1D	Dialister_micraerophilus	BT	30	0.044634886627388	90.3733333333333
EP288825_K10_MV1D	Campylobacter_ureolyticus	BT	29	0.0431470570731417	90.3689655172414
EP288825_K10_MV1D	Anaerococcus_tetradius	BT	28	0.0416592275188954	91.3357142857143
EP288825_K10_MV1D	Lactobacillus_gasseri_cluster	BT	27	0.0401713979646492	93.5592592592592
EP288825_K10_MV1D	Peptoniphilus_ivorii	BT	26	0.0386835684104029	90.1384615384615
EP288825_K10_MV1D	Prevotella_corporis	BT	26	0.0386835684104029	94.9115384615385
EP288825_K10_MV1D	Peptoniphilus_harei	BT	22	0.0327322501934178	93.6772727272728
EP288825_K10_MV1D	Anaerococcus_OTU5	AT	20	0.0297565910849253	99.315
EP288825_K10_MV1D	Peptostreptococcus_anaerobius	BT	20	0.0297565910849253	93.335
EP288825_K10_MV1D	Peptoniphilus_OTU42	BT	19	0.028268761530679	92.3473684210526
EP288825_K10_MV1D	Peptoniphilus_lacrimalis	AT	19	0.028268761530679	98.7
EP288825_K10_MV1D	Fusobacterium_cluster48	AT	19	0.028268761530679	99.5578947368421
