Stream,Pool,Area,MaxDepth,MeanDepth,Volume,Bedrock,Boulder,Cobble,Gravel,Sand,Silt,Leaves,Wood&roots,Openness,PPFD,PAR,Fish biomass1,Fish biomass2,Chl a rock1,chl a rock2,chl a tile1,chl a tile2,ng/mg chl a rock1,ng/mg chl a rock2,ng/mg chl a tile1,ng/mg chl a tile2
Q23,1.01,1.647630185,18.5,11.8625,195.4501307,0,0,5,77.5,10,0,5,2.5,8.69,9.4,11.2875,4023.057354,2224.312876,41.28807997,16.90244575,3.340464177,21.47104037,169.094002,125.2026193,13.68076347,159.0438764
Q23,1.02,4.485203888,16.3,9.60625,430.8598985,0,10,35,50,2,0,1,2,7.82,6.89,7.7525,1753.005651,969.2213404,1231.767766,234.8494536,51.72160439,99.45495671,31515.7545,10867.97864,1323.338239,4602.41371
Q23,1.03,5.280531346,26.8,14.74375,778.5483403,3,5,22,65,2,0,2,1,5.48,3.77,10.475,3015.157855,1667.054146,76.92312254,38.87027955,8.729378796,323.2475603,1347.176431,1231.248128,152.8800832,10239.13278
Q23,1.04,2.000087467,9.7,6.08125,121.6303191,0,0,36.5,60,0,0,2.5,1,4.55,4.83,10.2325,1194.160932,660.2410317,49.50299208,24.14367348,188.0827261,332.0465382,829.1203587,731.3913619,3150.177611,10058.78289
Q23,1.05,0.603618157,10.8,6.13125,37.00933824,0,0,55,40,2,0,2,1,1.78,1.76,13.695,1134.414664,627.2078476,42.7252534,17.7439878,6.287954519,1.677725702,227.3396098,170.76625,33.45799061,16.14625359
Q23,1.06,1.501627427,31,21.6875,325.6654483,60,5,10,23,0,0,2,0,2.905,3.235,1341.0025,2055.193586,1136.298381,€,32.86365447,99.14126482,97.67813115,€,434.2958306,724.3757639,1290.82434
Q23,1.07,1.720861554,34.4,28.33125,487.5415891,0,0,15,52,30,0,1,2,4.77,5.94,35.1725,7323.076446,4048.864284,107.5757214,14.09582866,7.17015171,106.8477019,252.7939242,59.91055246,16.84925524,454.1276007
Q23,1.09,0.860237151,10.2,5.70625,49.08728244,0,0,26,70,1,0,2,1,2.61,2.74,12.8825,32.55613594,18,€,205.8878239,18.67312817,59.70499384,€,98395.75285,4934.037199,28533.58545
Q23,1.10,1.773122119,7.1,4.40625,78.12819336,0,0,45,45,5,0,2.5,2.5,2.73,1.54,12.4575,430.9948386,238.2932394,€,12.35712608,82.22460556,100.1166525,€,919.4844822,3382.738116,7449.60501
Q23,1.11,6.713907213,21.2,11.53125,774.1974255,0,0,0,50,40,0,5,5,5.03,4.66,45.995,5189.98133,2869.494835,€,€,55.56774245,90.9970721,€,€,718.8400943,2129.10611
Q23,1.12,1.628438301,30.5,20.38125,331.8960813,0,0,71,15,10,0,1,3,9.35,8.47,9.305,1424.296959,787.4812083,€,19.58739864,3.307443493,19.63368188,€,405.0492866,37.81492075,406.0063812
Q23,1.14,2.021853442,26.5,17.3875,351.5497673,0,2.5,35,10,0,5,40,7.5,6.54,6.32,36.8325,824.1178105,455.6474582,€,13.54270538,95.68990129,73.42615773,€,600.9331337,2347.612852,3258.153361
Q23,1.15,2.148426277,12,7.5875,163.0118438,0,0,0,3,0,2,10,85,8.49,8.5,12.255,1459.199817,806.77869,1188.523077,23.07910578,3.224872622,46.18366272,17499.00309,614.5893282,47.48082477,1229.856413
Q23,1.16,2.511031754,40.3,28.93125,726.4728744,20,13,20,20,20,0,4,3,5.53,5,14.905,1733.538527,958.4581394,168.719902,86.50178048,71.60959315,50.23482457,2443.908946,2266.230612,1037.265452,1316.085017
Q23,1.17,4.413402785,11.5,7.65,337.6253131,0,0,35,45,5,2.5,2.5,10,5.48,1.84,30.8675,5359.310317,2963.115337,€,214.6323138,141.4153222,190.6744913,€,3196.834223,1164.558012,2839.995192
Q23,1.18,1.007486839,15.4,8.00625,80.66191502,0,5,75,15,0,0,2.5,2.5,6.005,6.935,1656.725,435.2041128,240.6205099,30.62783594,145.7153157,46.05556118,89.14726683,709.0268841,6101.153341,1066.174937,3732.62853
Q23,1.19,2.28562253,30,17.91875,409.5549872,0,2.5,70,15,2.5,2.5,2.5,5,5.13,5,9.75,5646.957925,3122.153159,172.3257729,35.84550864,28.56504437,27.41417553,697.493543,262.4128221,115.6178421,200.6898895
Q23,1.20,0.959999311,16.9,12.73125,122.2199122,60,0,10,10,5,10,2.5,2.5,5.45,6.02,346.875,1303.910112,720.9203836,€,50.80835395,21.02709728,25.60315216,€,676.5793542,154.8112765,340.9392907
Q13,2.01,4.732448389,17.6,10.81875,511.9917601,0,0,25,60,10,0,5,0,5.4,7.11,16.1825,129.4026395,79.85891652,€,397.5171366,541.4779331,219.1478167,€,235569.1029,198026.5923,129867.243
Q13,2.02,1.354970424,20.8,10.26875,139.1385254,2,0,5,3,68,0,20,2,7.075,7.27,35.93,668.0558712,412.2807562,50.86815352,160.9141597,62.60427979,152.8359257,1031.722742,5288.48179,1269.758282,5022.988725
Q13,2.03,14.12841698,39.4,22.06875,3117.965022,40,0,15,23,20,0,1,1,6.29,5.78,86.7,3717.069149,2293.934004,€,37.35452,585.7787476,61.67905545,€,2300.677499,22265.19355,3798.83385
Q13,2.04,2.758710245,26.3,15.50625,427.7725073,0,0,60,36,0,0,4,0,8.0775,8.3925,98.40375,2682.51389,1655.473595,734.279912,797.9539748,781.9407535,323.8622898,7551.37009,13297.24504,8041.516487,5396.898019
Q13,2.05,4.565176114,16.5,10.875,496.4629024,0,0,25,60,5,0,10,0,8.425,7.235,59.57,2405.755823,1484.676466,€,37.07375582,274.487255,412.6830672,€,1139.967046,5208.685969,12689.43722
Q13,2.06,3.466997652,17.2,9.2875,321.9974069,0,0,20,60,0,0,20,0,8.56,8.81,425.8675,1100.436737,679.1181837,1453.70615,608.6798583,546.4806011,148.1929977,45799.9596,31073.99698,17217.22747,7565.469268
Q13,2.07,1.860314581,17.8,13.1,243.7012101,0,2,0,75,15,0,5,3,9.555,9.715,175.3425,2088.211747,1288.708857,€,642.5164299,743.5395159,345.1551699,€,9275.040494,6623.932679,4982.484537
Q13,2.08,3.406987949,18.4,13.51875,460.5821833,0,0,40,55,3,0,2,0,5.82,6.37,476.43125,1649.271141,1017.823183,117.1744296,23.7648005,30.04381693,210.453682,2420.535105,795.4857999,620.6312574,7044.574835
Q13,2.09,4.883965872,19.7,12.775,623.9266401,0,1,46,50,1,0,2,0,7.63,7.515,48.59875,1902.129792,1173.871143,€,54.76594947,703.1559805,227.3739487,€,2278.57231,18054.44521,9460.038373
Q13,2.10,1.641797496,10.2,5.80625,95.32686714,0,5,24,60,10,0,1,0,9.34,11.01,949.725,1044.080371,644.33869,€,651.0296087,264.1577768,504.4982623,€,16588.46191,4153.833254,12854.792
Q13,2.11,2.014720188,15.4,10.2125,205.7532992,0,5,32,60,3,0,0,0,7.79,7.08,17.4525,2534.318736,1564.017158,1441.596509,201.8821841,159.9617246,301.7264561,11460.33271,2600.585997,1271.655815,3886.750088
Q13,2.12,4.581484255,19.6,14.625,670.0420723,1,2,20,61,15,0,1,0,7.8,7.77,86.5075,4952.313074,3056.246441,62.6972856,18.77052734,79.97776509,43.9872138,580.0251771,281.3806972,739.8903624,659.3929229
Q13,2.13,1.802273447,15,9.3375,168.2872831,5,0,12,75,3,0,5,0,5.59,7.36,697.281875,613.0366881,378.3264847,€,56.48149874,110.3602006,121.7688676,€,2690.668234,3244.491936,5800.830913
Q13,2.14,1.578667802,34.8,18.4,290.4748755,20,0,10,55,12,0,3,0,6.41,8.98,40.86125,3019.249736,1863.28512,304.3249724,25.50543738,10.82087331,9.765251141,1591.216617,216.0947475,56.57883835,82.73606323
Q13,2.15,4.61595372,23.8,16.31875,753.2659477,0,1,67,20,2,0,10,0,5.15,5.84,209.445,1300.168061,802.3794034,865.4616219,46.33811102,327.2091264,184.2171999,30726.26465,2665.75357,11616.8227,10597.70559
Q13,2.16,3.742730783,23.2,16.58125,620.5915479,0,0,3,72,15,0,10,0,4.46,4.42,330.2625,2271.640035,1401.9089,172.3874881,23.68734298,314.2394265,85.01325585,2840.238543,632.39022,5177.376506,2269.631997
Q13,2.17,1.446183017,24.4,12.64375,182.8517652,10,15,7,55,3,0,10,0,5.91,6.8,6.46075,615.6763446,379.9555095,€,25.2021682,210.6471409,117.8650819,€,959.2425098,4947.962032,4486.169448
Q13,2.18,1.213027463,13.8,9.675,117.360407,0,0,5,75,16,0,1,3,5.45,3.06,44.50625,140.6020208,86.77044836,€,180.9861293,449.8082162,92.07969444,€,25301.37269,38806.67689,12872.49291
Q13,2.19,1.556591057,14.2,11.28125,175.6029287,1,0,20,74,2,0,3,0,10.59,12.17,70.59,4038.226717,2492.131626,€,43.48800331,363.742272,42.75135035,€,271.6270536,1402.095542,267.0259025
