"Species","Light","Nitrogen","Humidity","Temperature","GrowthRate"
"P.ostreotus",0,0,"Low",20,41.172
"P.ostreotus",10,0,"Low",20,56.77
"P.ostreotus",20,0,"Low",20,84.798
"P.ostreotus",0,5,"Low",20,26.674
"P.ostreotus",10,5,"Low",20,46.496
"P.ostreotus",20,5,"Low",20,89.154
"P.ostreotus",0,10,"Low",20,34.11
"P.ostreotus",10,10,"Low",20,63.414
"P.ostreotus",20,10,"Low",20,101.386
"P.ostreotus",0,20,"Low",20,76.57
"P.ostreotus",10,20,"Low",20,108.03
"P.ostreotus",20,20,"Low",20,135.64
"P.ostreotus",0,25,"Low",20,98.702
"P.ostreotus",10,25,"Low",20,125.982
"P.ostreotus",20,25,"Low",20,160.148
"P.ostreotus",0,30,"Low",20,34.572
"P.ostreotus",10,30,"Low",20,64.206
"P.ostreotus",20,30,"Low",20,96.722
"P.ostreotus",0,35,"Low",20,38.686
"P.ostreotus",10,35,"Low",20,58.948
"P.ostreotus",20,35,"Low",20,95.6
"P.ostreotus",0,40,"Low",20,26.696
"P.ostreotus",10,40,"Low",20,46.21
"P.ostreotus",20,40,"Low",20,81.388
"P.ostreotus",0,45,"Low",20,33.648
"P.ostreotus",10,45,"Low",20,38.444
"P.ostreotus",20,45,"Low",20,72.038
"P.ostreotus",0,0,"High",20,28.225
"P.ostreotus",10,0,"High",20,55.483
"P.ostreotus",20,0,"High",20,128.347
"P.ostreotus",0,5,"High",20,43.867
"P.ostreotus",10,5,"High",20,84.556
"P.ostreotus",20,5,"High",20,139.237
"P.ostreotus",0,10,"High",20,48.817
"P.ostreotus",10,10,"High",20,116.401
"P.ostreotus",20,10,"High",20,146.332
"P.ostreotus",0,20,"High",20,130.36
"P.ostreotus",10,20,"High",20,153.724
"P.ostreotus",20,20,"High",20,210.517
"P.ostreotus",0,25,"High",20,178.309
"P.ostreotus",10,25,"High",20,181.906
"P.ostreotus",20,25,"High",20,239.128
"P.ostreotus",0,30,"High",20,66.637
"P.ostreotus",10,30,"High",20,80.728
"P.ostreotus",20,30,"High",20,147.091
"P.ostreotus",0,35,"High",20,60.862
"P.ostreotus",10,35,"High",20,98.812
"P.ostreotus",20,35,"High",20,156.496
"P.ostreotus",0,40,"High",20,46.639
"P.ostreotus",10,40,"High",20,68.65
"P.ostreotus",20,40,"High",20,141.778
"P.ostreotus",0,45,"High",20,20.008
"P.ostreotus",10,45,"High",20,51.061
"P.ostreotus",20,45,"High",20,109.24
"P.ostreotus",0,0,"Low",25,11.836
"P.ostreotus",10,0,"Low",25,43.498
"P.ostreotus",20,0,"Low",25,65.548
"P.ostreotus",0,5,"Low",25,21.7
"P.ostreotus",10,5,"Low",25,44.254
"P.ostreotus",20,5,"Low",25,72.442
"P.ostreotus",0,10,"Low",25,30.736
"P.ostreotus",10,10,"Low",25,55.216
"P.ostreotus",20,10,"Low",25,97.534
"P.ostreotus",0,20,"Low",25,76.726
"P.ostreotus",10,20,"Low",25,78.58
"P.ostreotus",20,20,"Low",25,122.464
"P.ostreotus",0,25,"Low",25,90.532
"P.ostreotus",10,25,"Low",25,99.478
"P.ostreotus",20,25,"Low",25,137.134
"P.ostreotus",0,30,"Low",25,37.648
"P.ostreotus",10,30,"Low",25,62.038
"P.ostreotus",20,30,"Low",25,81.532
"P.ostreotus",0,35,"Low",25,39.898
"P.ostreotus",10,35,"Low",25,47.656
"P.ostreotus",20,35,"Low",25,90.064
"P.ostreotus",0,40,"Low",25,28.936
"P.ostreotus",10,40,"Low",25,41.716
"P.ostreotus",20,40,"Low",25,78.22
"P.ostreotus",0,45,"Low",25,21.538
"P.ostreotus",10,45,"Low",25,31.24
"P.ostreotus",20,45,"Low",25,68.968
"P.ostreotus",0,0,"High",25,43.849
"P.ostreotus",10,0,"High",25,46.549
"P.ostreotus",20,0,"High",25,94.906
"P.ostreotus",0,5,"High",25,63.937
"P.ostreotus",10,5,"High",25,80.893
"P.ostreotus",20,5,"High",25,102.574
"P.ostreotus",0,10,"High",25,78.544
"P.ostreotus",10,10,"High",25,85.132
"P.ostreotus",20,10,"High",25,122.851
"P.ostreotus",0,20,"High",25,125.929
"P.ostreotus",10,20,"High",25,128.062
"P.ostreotus",20,20,"High",25,183.871
"P.ostreotus",0,25,"High",25,145.666
"P.ostreotus",10,25,"High",25,151.012
"P.ostreotus",20,25,"High",25,208.873
"P.ostreotus",0,30,"High",25,42.85
"P.ostreotus",10,30,"High",25,68.419
"P.ostreotus",20,30,"High",25,119.233
"P.ostreotus",0,35,"High",25,69.688
"P.ostreotus",10,35,"High",25,69.796
"P.ostreotus",20,35,"High",25,123.823
"P.ostreotus",0,40,"High",25,51.355
"P.ostreotus",10,40,"High",25,50.14
"P.ostreotus",20,40,"High",25,114.643
"P.ostreotus",0,45,"High",25,23.599
"P.ostreotus",10,45,"High",25,46.36
"P.ostreotus",20,45,"High",25,111.808
"P.cornucopiae",0,0,"Low",20,21.9427406660355
"P.cornucopiae",10,0,"Low",20,38.8364971175387
"P.cornucopiae",20,0,"Low",20,78.5237087151731
"P.cornucopiae",0,5,"Low",20,28.7783611800025
"P.cornucopiae",10,5,"Low",20,47.8530819783798
"P.cornucopiae",20,5,"Low",20,93.2927617383126
"P.cornucopiae",0,10,"Low",20,32.3802665147702
"P.cornucopiae",10,10,"Low",20,69.9016090067681
"P.cornucopiae",20,10,"Low",20,97.2665743531628
"P.cornucopiae",0,20,"Low",20,77.9680529940895
"P.cornucopiae",10,20,"Low",20,97.8808356746536
"P.cornucopiae",20,20,"Low",20,139.36348903566
"P.cornucopiae",0,25,"Low",20,104.200077588891
"P.cornucopiae",10,25,"Low",20,120.915451821225
"P.cornucopiae",20,25,"Low",20,177.866599736612
"P.cornucopiae",0,30,"Low",20,41.5257055173391
"P.cornucopiae",10,30,"Low",20,54.2881181815299
"P.cornucopiae",20,30,"Low",20,95.523610569522
"P.cornucopiae",0,35,"Low",20,50.1575711885877
"P.cornucopiae",10,35,"Low",20,62.2115821702345
"P.cornucopiae",20,35,"Low",20,106.557392439438
"P.cornucopiae",0,40,"Low",20,31.3710912982877
"P.cornucopiae",10,40,"Low",20,41.4018272709773
"P.cornucopiae",20,40,"Low",20,92.8684542485534
"P.cornucopiae",0,45,"Low",20,17.5597612398108
"P.cornucopiae",10,45,"Low",20,51.9035406257319
"P.cornucopiae",20,45,"Low",20,83.1906274453078
"P.cornucopiae",0,0,"High",20,52.2581673079506
"P.cornucopiae",10,0,"High",20,55.9432108569268
"P.cornucopiae",20,0,"High",20,111.420908273608
"P.cornucopiae",0,5,"High",20,43.819946521643
"P.cornucopiae",10,5,"High",20,87.0289037696368
"P.cornucopiae",20,5,"High",20,128.155901765713
"P.cornucopiae",0,10,"High",20,47.6151210099983
"P.cornucopiae",10,10,"High",20,94.6875655928673
"P.cornucopiae",20,10,"High",20,166.429432597155
"P.cornucopiae",0,20,"High",20,118.788210381247
"P.cornucopiae",10,20,"High",20,164.048116006062
"P.cornucopiae",20,20,"High",20,204.933110118996
"P.cornucopiae",0,25,"High",20,151.717106875558
"P.cornucopiae",10,25,"High",20,207.571591418708
"P.cornucopiae",20,25,"High",20,254.806169424719
"P.cornucopiae",0,30,"High",20,61.4134098439914
"P.cornucopiae",10,30,"High",20,87.3715950337021
"P.cornucopiae",20,30,"High",20,143.489409721419
"P.cornucopiae",0,35,"High",20,63.5122925640177
"P.cornucopiae",10,35,"High",20,100.178076131891
"P.cornucopiae",20,35,"High",20,160.327116580141
"P.cornucopiae",0,40,"High",20,40.7964967281616
"P.cornucopiae",10,40,"High",20,86.4784830184884
"P.cornucopiae",20,40,"High",20,135.01629036074
"P.cornucopiae",0,45,"High",20,24.1305395779487
"P.cornucopiae",10,45,"High",20,83.5771760916026
"P.cornucopiae",20,45,"High",20,136.008127881775
"P.cornucopiae",0,0,"Low",25,27.3441472579284
"P.cornucopiae",10,0,"Low",25,29.7706260964461
"P.cornucopiae",20,0,"Low",25,68.3877382024208
"P.cornucopiae",0,5,"Low",25,19.983174007906
"P.cornucopiae",10,5,"Low",25,61.7665943690913
"P.cornucopiae",20,5,"Low",25,77.584378186448
"P.cornucopiae",0,10,"Low",25,28.8628346526463
"P.cornucopiae",10,10,"Low",25,45.5713265805146
"P.cornucopiae",20,10,"Low",25,76.2532677917672
"P.cornucopiae",0,20,"Low",25,125.734202832263
"P.cornucopiae",10,20,"Low",25,92.8159299355626
"P.cornucopiae",20,20,"Low",25,111.236364751145
"P.cornucopiae",0,25,"Low",25,89.7942806573605
"P.cornucopiae",10,25,"Low",25,106.420371714091
"P.cornucopiae",20,25,"Low",25,131.155013691762
"P.cornucopiae",0,30,"Low",25,36.6162085508577
"P.cornucopiae",10,30,"Low",25,46.1911603564329
"P.cornucopiae",20,30,"Low",25,78.5405824012816
"P.cornucopiae",0,35,"Low",25,35.9562117909882
"P.cornucopiae",10,35,"Low",25,49.5885417775015
"P.cornucopiae",20,35,"Low",25,81.0620970153932
"P.cornucopiae",0,40,"Low",25,37.6901492879037
"P.cornucopiae",10,40,"Low",25,39.6082137787469
"P.cornucopiae",20,40,"Low",25,68.9023533145048
"P.cornucopiae",0,45,"Low",25,17.2700738770811
"P.cornucopiae",10,45,"Low",25,33.4125715273781
"P.cornucopiae",20,45,"Low",25,60.5602601083614
