Genus,wd,Max.D,Max.growth,Mean.growth,Mort
Abarema,0.55587477,557.05,1.166485514,0.318636606,0.518355526
Abuta,0.45,NA,NA,NA,NA
Acacia,0.714104167,639.5,NA,NA,NA
Acalypha,0.577106516,206.55,NA,NA,NA
Achyrocline,0.505,NA,NA,NA,NA
Acioa,0.82,NA,NA,NA,NA
Acosmium,0.761888889,NA,NA,NA,NA
Acrocomia,0.393016667,258.4,NA,NA,NA
Adelia,0.543,NA,NA,NA,NA
Adelobotrys,0.633335,NA,NA,NA,NA
Adenocalymma,0.568855512,NA,NA,NA,NA
Adenophora,0.643065269,NA,NA,NA,NA
Aegiphila,0.640040148,219.95,NA,NA,NA
Affonsea,0.712601476,NA,NA,NA,NA
Agonandra,0.817571429,427.3,0.75,0.228012472,NA
Agouticarpa,0.627528455,NA,NA,NA,NA
Aiouea,0.37,448.5,0.787503566,0.214362389,NA
Aiphanes,0.393016667,NA,NA,NA,NA
Alberta,0.627528455,NA,NA,NA,NA
Albizia,0.524220467,837.9,1.994147128,0.46459345,NA
Alchornea,0.427674268,504,1.68619218,0.421620194,2.133674898
Alchorneopsis,0.40475,543.45,1.014237435,0.29768134,NA
Aldina,0.735245834,560.65,0.297014874,0.094660293,NA
Alexa,0.514953038,392.8,0.888819577,0.3236922,NA
Alibertia,0.678477366,258,0.802288904,0.195109565,NA
Allantoma,0.549736842,NA,NA,NA,NA
Allophylus,0.482908163,312.5,0.882588112,0.203540992,2.624395157
Alseis,0.616623853,633.4,0.76512691,0.232051677,NA
Alsophila,0.643065269,189.1,NA,NA,NA
Amaioua,0.625,244.25,0.397342455,0.092222953,1.445460698
Amanoa,0.832633987,465.7,0.372510735,0.11910733,NA
Ambelania,0.52416754,221,0.299850075,0.071384292,0.364689043
Amburana,0.519007518,559.1,1.473378302,0.391204679,NA
Ampelocera,0.688932671,592.7,1.377996996,0.336514834,1.403353344
Amphiodon,0.62,173,0.735504736,0.157298209,NA
Amphirrhox,0.71,176.45,0.249875062,0.047853939,0.672327708
Amyris,0.975,NA,NA,NA,NA
Anacardium,0.463417234,749.5,0.845025432,0.259504982,0.354629896
Anadenanthera,0.829333333,476.95,1.144802432,0.384619356,NA
Anaueria,0.559416987,655.6,1.328010323,0.283488613,NA
