Species,wd,MaxD,MaxgrD,MeangrD,Mort
Abarema jupunba,0.585142857,538,1.151497004,0.373593285,0.224063788
Abarema macradenia,0.438,NA,NA,NA,NA
Abarema mataybifolia,NA,271.7,0.327023815,NA,NA
Acioa edulis,0.82,NA,NA,NA,NA
Acrocomia aculeata,NA,258.4,NA,NA,NA
Adelia triloba,0.543,NA,NA,NA,NA
Aegiphila integrifolia,0.86,NA,NA,NA,NA
Aegiphila intermedia,0.43,NA,NA,NA,NA
Agonandra brasiliensis,0.800333333,381.6,NA,NA,NA
Agonandra silvatica,0.8305,395.8,0.452594041,0.125410704,NA
Aiouea grandifolia,NA,490.25,0.7554055,0.212581447,NA
Albizia guachapele,0.5125,NA,NA,NA,NA
Albizia niopoides,0.555,NA,NA,NA,NA
Albizia pedicellaris,NA,895.7,2.007189934,0.50585243,NA
Alchornea discolor,NA,315.55,NA,NA,NA
Alchornea glandulosa,0.3725,338.9,0.966438606,0.277090871,NA
Alchornea latifolia,0.426666667,NA,NA,NA,NA
Alchornea triplinervia,0.466666667,520.6,1.679182209,0.494560043,NA
Alchorneopsis floribunda,NA,546.1,0.989392667,0.296867668,NA
Aldina heterophylla,0.749,NA,NA,NA,NA
Aldina kunhardtiana,NA,566.5,0.300119027,0.097714456,NA
Aldina latifolia,0.74,NA,NA,NA,NA
Alexa grandiflora,0.632,461.3,NA,NA,NA
Alexa imperatricis,0.487142857,384,0.820639198,0.270401373,NA
Alexa wachenheimii,0.49,NA,NA,NA,NA
Alibertia curviflora,0.73,NA,NA,NA,NA
Alibertia edulis,0.76,NA,NA,NA,NA
Alibertia verrucosa,0.56,NA,NA,NA,NA
Allantoma lineata,0.545,NA,NA,NA,NA
Allophylus amazonicus,0.55,NA,NA,NA,NA
Allophylus floribundus,0.39,NA,NA,NA,NA
Allophylus loretensis,NA,178.8,0.369673042,0.087988851,NA
Allophylus scrobiculatus,0.46,355.7,0.979340136,0.331646448,NA
Alseis blackiana,0.536,590.5,0.67566144,0.238660566,NA
Alseis peruviana,0.65,NA,NA,NA,NA
Alsophila cuspidata,NA,190.4,NA,NA,NA
Amaioua corymbosa,NA,289.55,0.817824296,0.171724356,NA
Amaioua guianensis,0.625,214,0.313335872,0.079464716,1.931933
Amanoa guianensis,0.843,639.2,NA,NA,NA
Amanoa oblongifolia,0.83,314.65,0.29763565,0.102243633,NA
Ambelania acida,0.524666667,216.6,0.299012251,0.068521759,0.340042002
Amburana cearensis,0.514285714,569.1,1.466992665,0.383308532,NA
Ampelocera edentula,0.6995,395.1,0.862277435,0.227681499,1.385322241
Ampelocera ruizii,0.648,806.35,2.209775112,0.518285979,NA
