"","observation","wingspan","mass"
"1",1,5,6
"2",2,2,8
"3",3,4,5
"4",4,3,7
"5",5,1,9
"6",6,5,6
"7",7,2,8
"8",8,4,5
"9",9,3,7
"10",10,1,9
"11",11,5,6
"12",12,2,8
"13",13,4,5
"14",14,3,7
"15",15,1,9
"16",16,5,6
"17",17,2,8
"18",18,4,5
"19",19,3,7
"20",20,1,9
"21",21,5,6
"22",22,2,8
"23",23,4,5
"24",24,3,7
"25",25,1,9
"26",26,5,6
"27",27,2,8
"28",28,4,5
"29",29,3,7
"30",30,1,9
"31",31,5,6
"32",32,2,8
"33",33,4,5
"34",34,3,7
"35",35,1,9
"36",36,5,6
"37",37,2,8
"38",38,4,5
"39",39,3,7
"40",40,1,9
"41",41,5,6
"42",42,2,8
"43",43,4,5
"44",44,3,7
"45",45,1,9
"46",46,5,6
"47",47,2,8
"48",48,4,5
"49",49,3,7
"50",50,1,9
"51",51,5,6
"52",52,2,8
"53",53,4,5
"54",54,3,7
"55",55,1,9
"56",56,5,6
"57",57,2,8
"58",58,4,5
"59",59,3,7
"60",60,1,9
"61",61,5,6
"62",62,2,8
"63",63,4,5
"64",64,3,7
"65",65,1,9
"66",66,5,6
"67",67,2,8
"68",68,4,5
"69",69,3,7
"70",70,1,9
"71",71,5,6
"72",72,2,8
"73",73,4,5
"74",74,3,7
"75",75,1,9
"76",76,5,6
"77",77,2,8
"78",78,4,5
"79",79,3,7
"80",80,1,9
"81",81,5,6
"82",82,2,8
"83",83,4,5
"84",84,3,7
"85",85,1,9
"86",86,5,6
"87",87,2,8
"88",88,4,5
"89",89,3,7
"90",90,1,9
"91",91,5,6
"92",92,2,8
"93",93,4,5
"94",94,3,7
"95",95,1,9
"96",96,5,6
"97",97,2,8
"98",98,4,5
"99",99,3,7
"100",100,1,9
"101",101,5,6
"102",102,2,8
"103",103,4,5
"104",104,3,7
"105",105,1,9
"106",106,5,6
"107",107,2,8
"108",108,4,5
"109",109,3,7
"110",110,1,9
"111",111,5,6
"112",112,2,8
"113",113,4,5
"114",114,3,7
"115",115,1,9
"116",116,5,6
"117",117,2,8
"118",118,4,5
"119",119,3,7
"120",120,1,9
"121",121,5,6
"122",122,2,8
"123",123,4,5
"124",124,3,7
"125",125,1,9
"126",126,5,6
"127",127,2,8
"128",128,4,5
"129",129,3,7
"130",130,1,9
"131",131,5,6
"132",132,2,8
"133",133,4,5
"134",134,3,7
"135",135,1,9
"136",136,5,6
"137",137,2,8
"138",138,4,5
"139",139,3,7
"140",140,1,9
"141",141,5,6
"142",142,2,8
"143",143,4,5
"144",144,3,7
"145",145,1,9
"146",146,5,6
"147",147,2,8
"148",148,4,5
"149",149,3,7
"150",150,1,9
"151",151,5,6
"152",152,2,8
"153",153,4,5
"154",154,3,7
"155",155,1,9
"156",156,5,6
"157",157,2,8
"158",158,4,5
"159",159,3,7
"160",160,1,9
"161",161,5,6
"162",162,2,8
"163",163,4,5
"164",164,3,7
"165",165,1,9
"166",166,5,6
"167",167,2,8
"168",168,4,5
"169",169,3,7
"170",170,1,9
"171",171,5,6
"172",172,2,8
"173",173,4,5
"174",174,3,7
"175",175,1,9
"176",176,5,6
"177",177,2,8
"178",178,4,5
"179",179,3,7
"180",180,1,9
"181",181,5,6
"182",182,2,8
"183",183,4,5
"184",184,3,7
"185",185,1,9
"186",186,5,6
"187",187,2,8
"188",188,4,5
"189",189,3,7
"190",190,1,9
"191",191,5,6
"192",192,2,8
"193",193,4,5
"194",194,3,7
"195",195,1,9
"196",196,5,6
"197",197,2,8
"198",198,4,5
"199",199,3,7
"200",200,1,9
"201",201,5,6
"202",202,2,8
"203",203,4,5
"204",204,3,7
"205",205,1,9
"206",206,5,6
"207",207,2,8
"208",208,4,5
"209",209,3,7
"210",210,1,9
"211",211,5,6
"212",212,2,8
"213",213,4,5
"214",214,3,7
"215",215,1,9
"216",216,5,6
"217",217,2,8
"218",218,4,5
"219",219,3,7
"220",220,1,9
"221",221,5,6
"222",222,2,8
"223",223,4,5
"224",224,3,7
"225",225,1,9
"226",226,5,6
"227",227,2,8
"228",228,4,5
"229",229,3,7
"230",230,1,9
"231",231,5,6
"232",232,2,8
"233",233,4,5
"234",234,3,7
"235",235,1,9
"236",236,5,6
"237",237,2,8
"238",238,4,5
"239",239,3,7
"240",240,1,9
"241",241,5,6
"242",242,2,8
"243",243,4,5
"244",244,3,7
"245",245,1,9
"246",246,5,6
"247",247,2,8
"248",248,4,5
"249",249,3,7
"250",250,1,9
"251",251,5,6
"252",252,2,8
"253",253,4,5
"254",254,3,7
"255",255,1,9
"256",256,5,6
"257",257,2,8
"258",258,4,5
"259",259,3,7
"260",260,1,9
"261",261,5,6
"262",262,2,8
"263",263,4,5
"264",264,3,7
"265",265,1,9
"266",266,5,6
"267",267,2,8
"268",268,4,5
"269",269,3,7
"270",270,1,9
"271",271,5,6
"272",272,2,8
"273",273,4,5
"274",274,3,7
"275",275,1,9
"276",276,5,6
"277",277,2,8
"278",278,4,5
"279",279,3,7
"280",280,1,9
"281",281,5,6
"282",282,2,8
"283",283,4,5
"284",284,3,7
"285",285,1,9
"286",286,5,6
"287",287,2,8
"288",288,4,5
"289",289,3,7
"290",290,1,9
"291",291,5,6
"292",292,2,8
"293",293,4,5
"294",294,3,7
"295",295,1,9
"296",296,5,6
"297",297,2,8
"298",298,4,5
"299",299,3,7
"300",300,1,9
"301",301,5,6
"302",302,2,8
"303",303,4,5
"304",304,3,7
"305",305,1,9
"306",306,5,6
"307",307,2,8
"308",308,4,5
"309",309,3,7
"310",310,1,9
"311",311,5,6
"312",312,2,8
"313",313,4,5
"314",314,3,7
"315",315,1,9
"316",316,5,6
"317",317,2,8
"318",318,4,5
"319",319,3,7
"320",320,1,9
"321",321,5,6
"322",322,2,8
"323",323,4,5
"324",324,3,7
"325",325,1,9
"326",326,5,6
"327",327,2,8
"328",328,4,5
"329",329,3,7
"330",330,1,9
"331",331,5,6
"332",332,2,8
"333",333,4,5
"334",334,3,7
"335",335,1,9
"336",336,5,6
"337",337,2,8
"338",338,4,5
"339",339,3,7
"340",340,1,9
"341",341,5,6
"342",342,2,8
"343",343,4,5
"344",344,3,7
"345",345,1,9
"346",346,5,6
"347",347,2,8
"348",348,4,5
"349",349,3,7
"350",350,1,9
"351",351,5,6
"352",352,2,8
