column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	5129	2	36	168607	32.87	32	33	34	2	29	36	0	2	20	5104	3	5129
2	5129	16	36	169298	33.01	33	33	34	1	32	35	5118	4	5	2	0	5129
3	5129	16	36	170558	33.25	33	34	34	1	32	35	2	5121	5	1	0	5129
4	5129	16	36	170848	33.31	33	34	34	1	32	35	14	2	5113	0	0	5129
5	5129	16	36	168909	32.93	33	33	34	1	32	35	1	1	4070	1057	0	5129
6	5129	16	37	173755	33.88	33	34	35	2	30	37	5114	3	10	2	0	5129
7	5129	16	37	173767	33.88	33	34	35	2	30	37	5	0	5075	49	0	5129
8	5129	15	37	171388	33.42	33	34	34	1	32	35	5	0	5123	1	0	5129
9	5129	16	37	169898	33.12	33	34	34	1	32	35	4059	2	761	307	0	5129
10	5129	15	37	183879	35.85	37	37	37	0	37	37	133	5	929	4062	0	5129
11	5129	15	37	183405	35.76	35	37	37	2	32	37	0	550	4328	251	0	5129
12	5129	15	37	185910	36.25	37	37	37	0	37	37	2	5122	1	4	0	5129
13	5129	15	38	190496	37.14	38	38	38	0	38	38	1180	0	3947	2	0	5129
14	5129	15	38	191605	37.36	38	38	38	0	38	38	5126	1	2	0	0	5129
15	5129	15	38	191369	37.31	38	38	38	0	38	38	1	2	5126	0	0	5129
16	5129	14	38	192091	37.45	38	38	38	0	38	38	1	5114	3	11	0	5129
17	5129	15	38	192340	37.50	38	38	38	0	38	38	20	1	5105	3	0	5129
18	5129	15	38	192568	37.54	38	38	38	0	38	38	1	1	0	5127	0	5129
19	5129	14	38	192348	37.50	38	38	38	0	38	38	1	3	2	5123	0	5129
20	5129	14	38	191601	37.36	38	38	38	0	38	38	4891	12	224	2	0	5129
21	5129	14	38	193230	37.67	38	38	38	0	38	38	6	2	0	5121	0	5129
22	5129	15	38	193170	37.66	38	38	38	0	38	38	1	5091	0	37	0	5129
23	5129	16	39	197949	38.59	39	39	39	0	39	39	2	5125	2	0	0	5129
24	5129	14	39	192772	37.58	38	38	38	0	38	38	1	0	5128	0	0	5129
25	5129	14	38	192162	37.47	38	38	38	0	38	38	3	0	5124	2	0	5129
26	5129	15	39	191410	37.32	38	38	38	0	38	38	5127	1	0	1	0	5129
27	5129	14	39	191559	37.35	38	38	38	0	38	38	238	1	22	4868	0	5129
28	5129	14	39	192915	37.61	38	38	38	0	38	38	0	1	2	5126	0	5129
29	5129	15	39	197733	38.55	39	39	39	0	39	39	3	95	69	4962	0	5129
30	5129	16	39	197263	38.46	39	39	39	0	39	39	5125	1	1	2	0	5129
31	5129	16	39	196685	38.35	39	39	39	0	39	39	1	843	0	4285	0	5129
32	5129	16	39	198375	38.68	39	39	39	0	39	39	2	3	1	5123	0	5129
33	5129	14	39	198213	38.65	39	39	39	0	39	39	3	0	5124	2	0	5129
34	5129	15	39	197684	38.54	39	39	39	0	39	39	1	0	5128	0	0	5129
35	5129	14	39	197046	38.42	39	39	39	0	39	39	0	1	5127	1	0	5129
36	5129	14	39	191625	37.36	38	38	38	0	38	38	1	375	4	4749	0	5129
37	5129	14	39	190962	37.23	38	38	38	0	38	38	0	0	1142	3987	0	5129
38	5129	14	39	190991	37.24	38	38	38	0	38	38	4	1	1	5123	0	5129
39	5129	14	39	196574	38.33	39	39	39	0	39	39	5126	1	2	0	0	5129
40	5129	14	39	197068	38.42	39	39	39	0	39	39	5127	2	0	0	0	5129
41	5129	14	39	197254	38.46	39	39	39	0	39	39	5117	3	9	0	0	5129
42	5129	16	39	197554	38.52	39	39	39	0	39	39	3	0	5124	2	0	5129
43	5129	2	39	197125	38.43	39	39	39	0	39	39	49	81	4995	2	2	5129
44	5129	2	39	192503	37.53	38	38	38	0	38	38	3	1	5119	5	1	5129
45	5129	2	39	189443	36.94	38	39	39	1	37	39	1366	204	23	3535	1	5129
46	5129	14	39	190651	37.17	37	38	38	1	36	39	168	8	4932	21	0	5129
47	5129	14	39	190631	37.17	38	38	38	0	38	38	10	4934	26	159	0	5129
48	5129	2	39	191837	37.40	38	38	38	0	38	38	6	22	5095	5	1	5129
49	5129	2	39	189782	37.00	38	38	38	0	38	38	7	1763	21	3336	2	5129
50	5129	2	39	191237	37.29	38	38	38	0	38	38	5096	3	8	20	2	5129
51	5129	2	39	192013	37.44	38	38	38	0	38	38	20	1	5105	2	1	5129
52	5129	2	39	190632	37.17	38	38	38	0	38	38	480	96	4551	1	1	5129
53	5129	13	39	190446	37.13	38	38	39	1	37	39	0	4455	35	639	0	5129
54	5129	2	39	191952	37.42	38	38	38	0	38	38	2	1	5104	20	2	5129
